"Istituzione","Contratto","Macrocategoria","Categoria","Tele Lavoro Uomini","Tele Lavoro Donne","Soggetti Turnazione Uomini","Soggetti Turnazione Donne","Soggetti Reperibilità Uomini","Soggeti Reperibilità Donne"
"CS10836","RALN","ND","CA","0","0","0","0","1","1"
"C222","RALN","ND","CA","0","0","5","0","2","0"
"C226","RALN","ND","CA","0","0","6","0","10","0"
"C242","RALN","ND","CA","0","0","0","0","1","0"
"C250","RALN","ND","CA","0","0","0","0","5","0"
"C293","RALN","ND","CA","0","0","0","0","1","0"
"C305","RALN","ND","CA","0","0","0","0","1","0"
"C322","RALN","ND","CA","0","0","1","1","2","0"
"C335","RALN","ND","CA","0","0","0","0","2","0"
"C344","RALN","ND","CA","0","0","4","0","14","0"
"C350","RALN","ND","CA","0","0","1","0","2","0"
"C349","RALN","ND","CA","0","0","0","0","3","0"
"C367","RALN","ND","CA","0","0","0","0","1","0"
"C391","RALN","ND","CA","0","0","0","1","0","0"
"C430","RALN","ND","CA","0","0","1","0","0","0"
"C449","RALN","ND","CA","0","0","1","0","0","0"
"C473","RALN","ND","CA","0","0","0","1","0","0"
"C476","REVA","ND","CA","0","0","3","12","14","0"
"C496","RALN","ND","CA","0","0","0","0","3","0"
"C503","RALN","ND","CA","0","0","0","0","4","0"
"C527","RALN","ND","CA","0","0","0","3","0","0"
"C536","RALN","ND","CA","0","0","2","0","0","0"
"C579","RALN","ND","CA","0","0","0","0","3","0"
"C585","RALN","ND","CA","0","0","0","0","1","0"
"C596","RALN","ND","CA","0","0","1","0","0","0"
"C601","RALN","ND","CA","0","0","2","11","0","0"
"C626","RALN","ND","CA","0","0","0","0","10","1"
"C628","RALN","ND","CA","0","0","5","0","14","0"
"C630","RALN","ND","CA","0","0","2","3","13","1"
"C658","RALN","ND","CA","0","0","20","9","6","2"
"C685","RALN","ND","CA","0","0","0","0","2","0"
"C696","RALN","ND","CA","0","0","0","0","1","0"
"C705","RALN","ND","CA","1","0,6","0","0","0","0"
"C758","RALN","ND","CA","0","0","0","0","1","0"
"C779","RALN","ND","CA","0","0","0","0","4","0"
"C792","RALN","ND","CA","0","0","13","0","5","0"
"C8298","RALN","ND","CA","0","0","0","0","1","0"
"C826","RALN","ND","CA","0","0","0","0","1","0"
"C834","RALN","ND","CA","0","0","0","0","1,83","0"
"C849","RALN","ND","CA","0","0","10","1","11","0"
"C859","RALN","ND","CA","0","0","0","1","0","0"
"C893","RALN","ND","CA","0","0","1","0","10","0"
"C910","RALN","ND","CA","0","0","0","0","10","0"
"C924","RALN","ND","CA","0","0","0","0","2","0"
"C931","RALN","ND","CA","0","0","0","0","1","0"
"C963","RALN","ND","CA","0","0","2","1","0","0"
"C970","PRBZ","ND","CA","0","0","17","5","0","0"
"C992","RALN","ND","CA","0","0","0","0","1","0"
"C1069","RALN","ND","CA","0","0","1","0","1","0"
"C1128","RALN","ND","CA","0","0","3","1","0","0"
"C1145","RALN","ND","CA","0","0","3","0","5","0"
"C1163","RALN","ND","CA","0","0","6","0","3","0"
"C1164","PRBZ","ND","CA","0","0","0","0","2","0"
"C1181","RALN","ND","CA","0","0","0","0","1","0"
"C1198","RALN","ND","CA","0","0","0","0","3","0"
"C1264","RALN","ND","CA","0","0","51","4","23","1"
"C1302","PRBZ","ND","CA","0","0","0","0","1","0"
"C1341","RALN","ND","CA","0","0","0","0","1","0"
"C1373","RALN","ND","CA","0","0","0","0","16","0"
"C1390","RALN","ND","CA","0","0","1","1","0","0"
"C1445","PRBZ","ND","CA","0","0","0","0","1","0"
"C1400","RALN","ND","CA","0","0","2","0","2","0"
"C1402","RALN","ND","CA","0","0","0","0","2","0"
"C1470","RALN","ND","CA","0","0","2","0","5","0"
"C1471","RALN","ND","CA","0","0","0","0","1","0"
"C1485","RALN","ND","CA","0","0","0","0","0","6"
"C1523","RALN","ND","CA","0","0","0","0","1","0"
"C1524","RALN","ND","CA","0","0","0","0","2","0"
"C1549","RALN","ND","CA","0","0","0","0","2","0"
"C1564","RALN","ND","CA","0","0","0","0","8","0"
"C1565","RALN","ND","CA","0","0","0","0","1","0"
"C1578","RALN","ND","CA","0","0","0","0","1","0"
"C1591","RALN","ND","CA","0","0","0","0","1","0"
"C1615","RALN","ND","CA","0","0","2","0","8","0"
"C1657","RALN","ND","CA","0","0","0","0","2","0"
"C1658","RALN","ND","CA","0","0","0","1","0","0"
"C1701","RALN","ND","CA","0","0","0","0","2","0"
"C1714","RALN","ND","CA","0","0","0","4","0","0"
"C1721","RALN","ND","CA","0","0","0","0","5","0"
"C1729","RALN","ND","CA","0","0","0","0","1","0"
"C1737","RALN","ND","CA","0","0","0","0","4","0"
"C1738","RALN","ND","CA","0","0","0","0","6","0"
"C1755","RALN","ND","CA","0","0","0","0","5","0"
"C1770","RALN","ND","CA","0","0","9","11","1","0"
"C1785","RALN","ND","CA","0","0","0","0","1","0"
"C1799","RALN","ND","CA","0","0","2","2","0","0"
"C1889","RALN","ND","CA","0","0","2","0","0","0"
"C1917","RALN","ND","CA","0","0","1","1","1","0"
"C1933","RALN","ND","CA","0","0","0","0","1","0"
"C1989","PRBZ","ND","CA","0","0","0","0","3","0"
"C2005","RALN","ND","CA","0","0","0","0","4","0"
"C2024","RALN","ND","CA","0","0","0","0","2","0"
"C2071","RALN","ND","CA","0","0","5","0","1","0"
"C2072","RALN","ND","CA","0","0","25","2","113","5"
"C2073","RALN","ND","CA","0","0","3","0","0","0"
"C2013","RALN","ND","CA","0","0","0","0","1","0"
"C2119","RALN","ND","CA","0","0","1,1","0","0","0"
