"Istituzione","Contratto","Categoria","Qualifica","Trattamento Iniziale Uomini","Fascia1_Uomini","Fascia2_Uomini","Fascia3_Uomini","Fascia4_Uomini","Fascia5_Uomini","Fascia6_Uomini","Trattamento Iniziale Donne","Fascia1_Donne","Fascia2_Donne","Fascia3_Donne","Fascia4_Donne","Fascia5_Donne","Fascia6_Donne"
"U9508","SSNA","SI","S18023","0","0","0","2","2","4","0","0","0","0","6","5","3","3"
"U9508","SSNA","SI","S16020","84","26","20","20","35","110","51","365","78","37","41","103","438","104"
"U9508","SSNA","SI","S14E52","0","2","34","0","0","0","0","2","0","65","0","0","0","0"
"U9508","SSNA","SI","S13052","0","0","0","0","0","1","0","0","0","0","0","0","3","0"
"U9508","SSNA","ST","S18920","0","0","0","3","2","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","ST","S16021","6","6","10","1","15","25","0","19","14","23","4","13","36","2"
"U9508","SSNA","SV","S18921","0","0","2","1","2","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","SV","S16022","0","0","0","0","7","23","0","3","0","0","0","1","3","0"
"U9508","SSNA","SF","S16019","3","0","0","2","3","2","1","29","2","1","0","4","21","9"
"U9508","SSNA","SF","S13051","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"U9508","SSNA","LT","T16024","2","0","0","0","1","0","0","10","0","0","1","3","20","0"
"U9508","SSNA","LT","T16026","0","3","0","0","7","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T14007","1","0","1","0","1","1","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T14E59","2","10","20","1","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T13059","18","1","0","8","1","3","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T13660","20","1","0","11","0","0","0","16","3","0","13","0","0","0"
"U9508","SSNA","LT","T12057","20","12","1","0","11","19","0","6","0","0","0","0","2","0"
"U9508","SSNA","LT","T12058","0","0","0","0","0","5","0","0","0","0","0","0","3","0"
"U9508","SSNA","LT","T11008","22","1","0","1","0","26","0","81","1","0","0","0","19","0"
"U9508","SSNA","LA","A18029","0","2","0","1","9","0","0","0","5","0","0","7","0","0"
"U9508","SSNA","LA","A16028","1","7","4","0","14","1","0","1","3","10","0","23","1","0"
"U9508","SSNA","LA","A14005","0","28","1","0","52","1","0","2","9","5","1","31","5","0"
"U9508","SSNA","LA","A13018","5","10","0","4","1","2","0","2","3","0","1","0","2","0"
"U9508","SSNA","LA","A12017","16","2","2","1","21","3","0","7","0","6","0","3","3","0"
"U9508","SSNA","LA","A11030","4","0","9","0","0","11","0","4","0","1","0","0","1","0"
"U9647","SSNA","SI","S18023","0","0","6","0","1","1","0","0","2","24","10","0","1","0"
"U9647","SSNA","SI","S16020","48","20","57","55","63","14","0","148","48","115","80","193","29","4"
"U9647","SSNA","SI","S14E52","1","16","0","0","0","0","0","4","23","0","0","0","0","0"
"U9647","SSNA","ST","S18920","1","4","0","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","ST","S16021","5","8","9","10","19","1","0","16","13","9","7","27","1","0"
"U9647","SSNA","SV","S18921","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"U9647","SSNA","SV","S16022","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"U9647","SSNA","SF","S18922","0","0","0","0","0","0","0","1","0","2","0","0","0","0"
"U9647","SSNA","SF","S16019","0","1","1","0","4","0","0","3","0","0","0","8","3","0"
"U9647","SSNA","LP","P16006","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T16024","0","0","0","0","1","0","0","0","0","0","2","1","1","0"
"U9647","SSNA","LT","T16026","0","0","6","0","0","0","0","0","0","1","0","0","0","0"
"U9647","SSNA","LT","T14007","3","0","4","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T14063","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"U9647","SSNA","LT","T14E59","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T13059","36","5","9","2","6","9","0","0","0","0","0","0","0","0"
"U9647","SSNA","LT","T13660","42","1","0","16","0","0","0","11","1","0","7","0","0","0"
"U9647","SSNA","LT","T12057","10","0","7","0","0","8","0","3","0","1","0","0","0","0"
"U9647","SSNA","LT","T12058","3","0","2","0","1","10","0","0","0","1","0","1","4","0"
"U9647","SSNA","LT","T11008","83","0","0","4","4","20","0","123","0","0","1","2","4","0"
"U9647","SSNA","LA","A18029","2","0","1","1","0","0","1","0","2","1","0","0","0","0"
"U9647","SSNA","LA","A16028","2","0","2","0","0","0","0","3","0","7","0","0","0","0"
"U9647","SSNA","LA","A14005","6","0","26","0","0","1","0","2","0","16","0","0","0","0"
"U9647","SSNA","LA","A12017","22","3","1","2","1","0","0","27","0","2","0","0","0","0"
"U9647","SSNA","LA","A11030","0","0","1","1","4","6","0","0","0","0","0","0","1","0"
"U10509","SSNA","SI","S18023","0","4","2","4","2","0","0","0","3","6","10","0","1","1"
"U10509","SSNA","SI","S16020","67","48","54","101","104","29","22","282","75","66","144","214","66","97"
"U10509","SSNA","SI","S14E52","0","22","0","0","0","0","0","2","29","0","0","0","0","0"
"U10509","SSNA","SI","S13052","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"U10509","SSNA","ST","S18920","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"U10509","SSNA","ST","S16021","7","6","5","12","17","2","10","17","10","3","9","29","3","8"
"U10509","SSNA","SV","S18921","0","2","1","1","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","SV","S16022","5","1","10","18","8","10","13","0","0","0","0","0","0","1"
"U10509","SSNA","SF","S18922","0","0","0","0","0","0","0","5","1","2","0","0","0","0"
"U10509","SSNA","SF","S16019","8","2","11","2","2","7","1","45","9","17","4","6","34","34"
