"Istituzione","Contratto","Categoria","Qualifica","Causale Assunzione","Uomini","Donne"
"M8653","SCLA","DO","016132","A24","0","1"
"IC10570","AFAM","PR","018P01","A24","0","24"
"IC10570","AFAM","PR","018P01","A24","42","0"
"IC10570","AFAM","PR","016P02","A24","1","0"
"IC10570","AFAM","PA","013CTE","A24","0","3"
"IC10570","AFAM","PA","013CTE","A24","3","0"
"IC10570","AFAM","PA","012117","A24","0","6"
"IC10570","AFAM","PA","012117","A24","2","0"
"OC9829","MNST","D2","0D0080","A24","0","1"
"OC9829","MNST","3A","040F01","A24","1","0"
"OC9829","MNST","1A","023F01","A24","0","1"
"M8653","MNST","2A","032F02","A24","1","0"
"M8653","MNST","2A","030F01","A24","0","6"
"M8653","MNST","2A","030F01","A24","2","0"
"M10395","MNST","3A","042F03","A24","2","0"
"M8659","MNST","D2","0D0080","A24","1","0"
"M8659","MNST","3A","043F04","A24","2","0"
"M8659","MNST","3A","042F03","A24","0","5"
"M8659","MNST","3A","042F03","A24","10","0"
"M8659","MNST","3A","040F01","A24","4","0"
"M8659","MNST","2A","034F03","A24","0","4"
"M8659","MNST","2A","034F03","A24","58","0"
"M8659","MNST","2A","032F02","A24","0","11"
"M8659","MNST","2A","032F02","A24","125","0"
"M8652","MNST","2A","035F06","A24","1","0"
"M8652","MNST","2A","035F05","A24","1","0"
"M8652","MNST","2A","034F03","A24","0","1"
"M8652","MNST","2A","034F03","A24","22","0"
"M8652","MNST","2A","032F02","A24","0","2"
"M8652","MNST","2A","032F02","A24","22","0"
"M8664","MNST","D1","0D0078","A24","1","0"
"M8666","MNST","3A","042F03","A24","1","0"
"M8660","MNST","D1","0D0CDP","A24","1","0"
"M8660","MNST","D1","0D0078","A24","0","1"
"M8660","MNST","D1","0D0078","A24","1","0"
"M8660","MNST","D2","0D0079","A24","1","0"
"M8660","MNST","3A","042F03","A24","0","1"
"M8660","MNST","3A","041F02","A24","0","1"
"M8668","MNST","D1","0D0077","A24","0","1"
"M8668","MNST","D1","0D0077","A24","1","0"
"M8668","MNST","D2","0D0079","A24","2","0"
"M8668","MNST","D2","0D0080","A24","1","0"
"M8668","MNST","3A","044F06","A24","0","2"
"M8668","MNST","3A","044F06","A24","3","0"
"M8668","MNST","3A","040F01","A24","0","3"
