"Istituzione","Contratto","Categoria","Qualifica","Trattamento Iniziale Uomini","Fascia1_Uomini","Fascia2_Uomini","Fascia3_Uomini","Fascia4_Uomini","Fascia5_Uomini","Fascia6_Uomini","Trattamento Iniziale Donne","Fascia1_Donne","Fascia2_Donne","Fascia3_Donne","Fascia4_Donne","Fascia5_Donne","Fascia6_Donne"
"U9508","SSNA","SI","S18023","0","0","0","3","2","3","0","0","1","0","5","4","3","1"
"U9508","SSNA","SI","S16020","99","25","19","21","37","106","41","384","77","38","42","104","432","88"
"U9508","SSNA","SI","S14E52","0","2","30","0","0","0","0","2","0","61","0","0","0","0"
"U9508","SSNA","SI","S13052","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"U9508","SSNA","ST","S18920","0","0","0","3","2","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","ST","S16021","6","6","10","1","16","25","0","19","15","24","5","13","33","2"
"U9508","SSNA","SV","S18921","0","0","2","2","2","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","SV","S16022","0","0","0","0","7","21","0","5","0","0","0","1","3","0"
"U9508","SSNA","SF","S16019","3","0","0","2","3","2","1","28","4","1","0","4","21","9"
"U9508","SSNA","SF","S13051","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LP","P16006","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"U9508","SSNA","LT","T16024","2","0","0","0","1","0","0","10","0","0","1","3","18","0"
"U9508","SSNA","LT","T16026","0","3","0","0","7","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T14007","1","0","1","0","1","1","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T14E59","2","10","20","1","0","0","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T13059","18","1","0","8","1","2","0","0","0","0","0","0","0","0"
"U9508","SSNA","LT","T13660","22","1","0","11","0","0","0","15","3","0","12","0","0","0"
"U9508","SSNA","LT","T12057","20","12","1","0","10","18","0","7","0","0","0","0","2","0"
"U9508","SSNA","LT","T12058","0","0","0","0","0","4","0","0","0","0","0","0","2","0"
