ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C6938;RALN;CD;0D6000;A30;1;0
P9102;RALN;CD;0D6000;A24;1;0
V9743;RALN;CD;0D6000;A24;1;0
C6110;RALN;CD;0D6000;A27;1;1
C6454;RALN;CD;0D6000;A30;1;0
C3162;RALN;CD;0D6000;A31;1;0
C4135;RALN;CD;0D6000;A24;1;0
D10283;RALN;CD;0D6000;A30;1;0
P9054;RALN;CD;0D6000;A24;1;0
C7929;RALN;CD;0D6000;A24;0;1
C5032;RALN;CD;0D6000;A30;0;1
R9192;RALN;CD;0D6000;A30;3;0
C4135;RALN;CD;0D6000;A30;0;1
UC10187;RALN;CD;0D6000;A30;0;1
C427;RALN;CD;0D6000;A30;1;0
C2989;RALN;CD;0D6000;A24;0;2
C2404;RALN;CD;0D6000;A30;1;0
C5097;RALN;CD;0D6000;A30;2;0
C2315;RALN;CD;0D6000;A30;1;0
R9192;RALN;CD;0D6000;A24;1;0
C2255;RALN;CD;0D6000;A24;1;0
C3631;RALN;CD;0D6000;A30;0;1
ER11898;RALN;CD;0D6000;A30;5;5
C7349;RALN;CD;0D6000;A24;1;1
C6657;RALN;CD;0D6000;A31;1;1
C1949;RALN;CD;0D6000;A30;0;1
UC11816;RALN;CD;0D6000;A30;2;0
R9197;RALN;CD;0D6000;A30;1;0
C6902;RALN;CD;0D6000;A30;0;1
UC11812;RALN;CD;0D6000;A30;0;1
C4054;RALN;CD;0D6000;A30;1;0
UC11890;RALN;CD;0D6000;A30;2;0
C4638;RALN;CD;0D6000;A23;1;0
C4494;RALN;CD;0D6000;A30;1;0
C5761;RALN;CD;0D6000;A24;0;1
ES10847;RALN;CD;0D6000;A24;1;0
N10593;RALN;CD;0D6000;A30;1;0
C6331;RALN;CD;057000;A30;1;0
C4208;RALN;CD;057000;A30;0;1
C7935;RALN;CD;057000;A24;1;0
C6592;RALN;CD;057000;A23;0;1
C7450;RALN;CD;057000;A23;0;1
C2703;RALN;CD;057000;A23;2;0
C3224;RALN;CD;057000;A24;1;0
C2780;RALN;CD;057000;A23;1;0
C5073;RALN;CD;057000;A30;0;1
C1696;RALN;CD;057000;A30;0;1
P9125;RALN;CD;057000;A24;1;0
C2167;RALN;CD;057000;A30;0;1
C4141;RALN;CD;057000;A23;1;0
PA10928;RALN;CD;057000;A23;1;0
UC10585;RALN;CD;057000;A30;1;0
C2543;RALN;CD;057000;A23;0;1
C2299;RALN;CD;057000;A30;1;0
IP10120;RALN;CD;057000;A23;10;24
C4052;RALN;CD;057000;A30;0;1
R9197;RALN;CD;057000;A30;0;1
C5828;RALN;CD;057000;A30;1;0
C6336;RALN;CD;057000;A23;0;1
C564;RALN;CD;057000;A30;0;1
C2016;RALN;CD;057000;A23;0;1
C747;RALN;CD;057000;A23;6;4
C2569;RALN;CD;057000;A30;2;0
C7848;RALN;CD;057000;A30;0;1
C6789;RALN;CD;057000;A23;0;1
C3184;RALN;CD;057000;A23;0;1
C307;RALN;CD;057000;A23;1;0
C795;RALN;CD;057000;A30;0;1
CS12213;RALN;CD;057000;A23;1;0
C4994;RALN;CD;057000;A23;0;1
C1247;RALN;CD;057000;A30;1;0
C826;RALN;CD;057000;A31;0;1
C1732;RALN;CD;057000;A24;0;1
C3042;RALN;CD;057000;A31;0;1
IP10580;RALN;CD;057000;A23;0;7
C2891;RALN;CD;057000;A24;1;0
C2204;RALN;CD;057000;A30;1;0
C2389;RALN;CD;057000;A30;1;0
C382;RALN;CD;057000;A30;0;1
C1799;RALN;CD;057000;A30;0;1
C4347;RALN;CD;057000;A23;2;2
C3042;RALN;CD;057000;A30;2;3
C6514;RALN;CD;057000;A30;0;1
C6365;RALN;CD;057000;A23;0;1
C1037;RALN;CD;057000;A23;0;1
C2249;RALN;CD;057000;A30;0;1
C3042;RALN;CD;057000;A23;0;2
C2249;RALN;CD;057000;A23;0;2
C3415;RALN;CD;057000;A30;0;1
C8095;RALN;CD;057000;A24;1;1
C2249;RALN;CD;057000;A24;0;2
C6253;RALN;CD;057000;A30;1;1
UC10669;RALN;CD;057000;A24;1;0
C4751;RALN;CD;057000;A23;1;0
C530;RALN;CD;057000;A30;0;1
C2285;RALN;CD;057000;A23;0;1
C969;RALN;CD;057000;A30;0;1
C1230;RALN;CD;057000;A23;0;1
C2289;RALN;CD;057000;A30;1;0
ER10817;RALN;CD;057000;A23;0;1
C1349;RALN;CD;057000;A24;1;0
C1198;RALN;CD;057000;A30;0;1
C6822;RALN;CD;057000;A30;0;1
ER11898;RALN;CD;057000;A30;4;1
C6144;RALN;CD;057000;A30;1;1
C8143;RALN;CD;057000;A30;1;0
C5981;RALN;CD;057000;A24;0;1
C3731;RALN;CD;057000;A31;0;1
C3109;RALN;CD;057000;A23;0;1
UC10361;RALN;CD;057000;A30;2;0
C859;RALN;CD;057000;A30;2;2
C859;RALN;CD;057000;A23;1;0
