ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
C7864;RALN;CD;050000;SP;0D0I95;V;1
J9694;SSNA;MD;SD0E33;DG;0D0484;V;1
J9694;SSNA;LA;A12017;LA;A14005;O;1
J9694;SSNA;DA;AD0032;DA;AD0A31;O;1
J9694;SSNA;LT;T12058;LT;T12057;O;1
Q9179;PRUN;PR;0D0172;PR;0D0173;O;1
Q9179;PRUN;PR;0D0167;PR;0D0169;O;2
Q9179;PRUN;PR;0D0168;PR;0D0169;O;1
Q9179;PRUN;RI;0D0178;RI;0D0177;O;9
Q9179;PRUN;RI;0D0176;RI;0D0177;O;3
Q9179;PRUN;RI;0D0177;PR;0D0166;V;1
Q9179;PRUN;RI;0D0177;PR;0D0167;V;1
Q9179;PRUN;PR;0D0175;PR;0D0173;O;2
C832;RALN;CC;056000;CD;057000;V;1
C832;RALN;CA;027000;CB;054000;V;1
N8778;PRBZ;CD;000720;CD;000719;O;2
N8778;PRBZ;CB;000726;CB;000724;O;1
N8778;PRBZ;CA;000730;CA;000729;O;1
N8778;PRBZ;CB;000724;CB;000723;O;4
C4091;RALN;CD;052486;DF;0D0098;V;1
C4091;RALN;CD;0D6A00;DI;0D0164;V;1
C4091;RALN;CC;043000;CD;058000;V;1
V9795;RALN;CC;056000;CC;042000;O;3
V9795;RALN;CD;051489;CD;052487;O;3
V9795;RALN;CC;045000;CC;046000;O;2
V9795;RALN;CC;043000;CC;045000;O;2
V9795;RALN;CB;054000;CB;032000;O;1
V9795;RALN;CB;037493;CB;038491;O;1
U11799;SSNA;LA;A12017;LA;A13018;O;37
U11799;SSNA;MD;SD0E34;MD;SD0N34;O;7
U11799;SSNA;SI;S16020;SI;S18023;O;18
U11799;SSNA;DS;SD0E39;DS;SD0E38;O;2
U11799;SSNA;SI;S18023;SV;S18921;V;7
U11799;SSNA;SI;S16020;ST;S16021;V;15
U11799;SSNA;DP;PD0S03;DP;PD0004;O;1
U11799;SSNA;LT;T13660;LA;A11030;V;1
U11799;SSNA;MD;SD0035;MD;SD0E34;O;5
U11799;SSNA;MD;SD0E33;MD;SD0E34;O;6
U11799;SSNA;SF;S16019;SF;S18922;O;2
U11799;SSNA;DT;TD0002;DT;TD0A01;O;1
U11799;SSNA;MD;SD0E34;MD;SD0E33;O;1
U11799;SSNA;MD;SD0035;MD;SD0036;O;14
U11799;SSNA;LT;T13660;LA;A13018;V;2
U11799;SSNA;MD;SD0E33;MD;SD0N33;O;1
U11799;SSNA;DA;AD0032;DA;AD0A31;O;4
U11799;SSNA;LT;T12057;LT;T13059;O;5
U11799;SSNA;DP;PD0046;DP;PD0A45;O;1
U11799;SSNA;DA;AD0A31;DA;AD0032;O;1
U11799;SSNA;LA;A14005;LA;A16028;O;1
U11799;SSNA;DP;PD0004;DP;PD0A03;O;3
U11799;SSNA;LT;T12057;LA;A13018;V;1
U11799;SSNA;ST;S16021;ST;S18920;O;2
U11799;SSNA;SI;S18023;ST;S18920;V;15
U11799;SSNA;LT;T14063;LT;T16026;O;1
U11799;SSNA;MD;SD0035;MD;SD0E33;O;1
U11799;SSNA;SI;S16020;SV;S16022;V;10
U11799;SSNA;LT;T12057;LA;A12017;V;1
U11799;SSNA;MD;SD0036;MD;SD0035;O;1
C2985;RALN;CB;054000;CB;032000;O;1
C2212;RALN;CC;042000;CC;043000;O;1
C2212;RALN;CD;050000;CD;051489;O;2
C2212;RALN;CD;049000;CD;050000;O;1
C2212;RALN;CB;037492;CB;038490;O;1
U10532;SSNA;DS;SD0E12;DS;SD0A12;O;35
U10532;SSNA;LT;T16026;LT;T14E59;O;2
U10532;SSNA;LT;T16026;LT;T16024;O;8
U10532;SSNA;LT;T16024;LT;T00062;O;28
U10532;SSNA;DS;SD0483;SI;S16020;V;1
U10532;SSNA;LT;T16026;LT;T00062;O;13
U10532;SSNA;MD;SD0E33;MD;SD0035;O;19
U10532;SSNA;DP;PD0607;DP;PD0S03;O;1
U10532;SSNA;SI;S16020;SI;S13052;O;4
U10532;SSNA;LT;T13059;SI;S13052;V;1
U10532;SSNA;DS;SD0E38;DS;SD0A38;O;10
U10532;SSNA;SI;S16020;SI;S14E52;O;4
U10532;SSNA;SI;S16020;SF;S16019;V;3
U10532;SSNA;ST;S16021;ST;S00062;O;9
U10532;SSNA;SI;S13052;SI;S14E52;O;6
U10532;SSNA;MD;SD0E34;MD;SD0035;O;77
U10532;SSNA;SV;S16022;SF;S16019;V;2
U10532;SSNA;SI;S16020;ST;S00062;V;20
U10532;SSNA;LT;T13059;SV;S16022;V;2
U10532;SSNA;LT;T13059;LT;T12057;O;74
U10532;SSNA;LT;T14E59;LT;T12057;O;11
U10532;SSNA;DA;AD0612;LA;A18029;V;1
U10532;SSNA;MV;SD0E73;MV;SD0A73;O;39
U10532;SSNA;ST;S16021;SV;S16022;V;19
U10532;SSNA;LT;T14E59;LT;T13059;O;38
U10532;SSNA;DA;AD0S31;DA;AD0A31;O;3
U10532;SSNA;DS;SD0E65;DS;SD0A65;O;36
U10532;SSNA;LT;T16026;LT;T14007;O;2
U10532;SSNA;SI;S14056;SI;S14E52;O;38
U10532;SSNA;DT;TD0S67;DT;TD0A67;O;4
U10532;SSNA;ST;S16021;SI;S14E52;V;9
C3507;RALN;CB;032000;CB;036494;O;2
C3507;RALN;CC;045000;CC;046000;O;1
C3507;RALN;CB;036495;CB;037493;O;1
C3507;RALN;CC;042000;CC;043000;O;1
C3507;RALN;CA;053000;CA;025000;O;4
C4380;RALN;CB;037493;CC;056000;V;1
U10509;SSNA;MD;SD0035;MD;SD0E34;O;4
U10509;SSNA;MD;SD0035;MD;SD0036;O;22
U10509;SSNA;MD;SD0E34;MD;SD0035;O;1
U10509;SSNA;LA;A13018;LA;A12017;O;1
U10509;SSNA;MD;SD0E34;MD;SD0N34;O;4
U10509;SSNA;MD;SD0036;MD;SD0035;O;3
U10509;SSNA;LA;A14005;LT;T14007;V;1
U10509;SSNA;SI;S18023;DS;SD048A;V;1
U10509;SSNA;LT;T12057;LT;T12058;O;2
U10509;SSNA;MD;SD0E33;MD;SD0N33;O;2
U10509;SSNA;DS;SD0011;DS;SD0A12;O;2
U10509;SSNA;DS;SD0A65;DS;SD0E65;O;2
U10509;SSNA;LT;T11008;LT;T12058;O;8
U10509;SSNA;LT;T13059;LT;T12058;O;1
U10509;SSNA;LT;T12057;LT;T13059;O;2
U10509;SSNA;ST;S14054;LT;T14007;V;1
U10509;SSNA;DA;AD0S31;DA;AD0032;O;1
U10509;SSNA;DS;SD0E65;DS;SD0N65;O;2
U10509;SSNA;DS;SD0A65;DS;SD0064;O;1
U10509;SSNA;DS;SD0A12;DS;SD0011;O;1
U10509;SSNA;SI;S18023;LT;T18025;V;1
U10753;SSNA;MD;SD0035;MD;SD0E34;O;1
U10753;SSNA;DS;SD0E38;DS;SD0A38;O;2
U10753;SSNA;MD;SD0035;MD;SD0597;O;2
U10753;SSNA;SI;S14056;SI;S14E52;O;1
U10753;SSNA;LA;A16028;DA;AD0A31;V;1
U10753;SSNA;SF;S16019;ST;S16021;V;1
U10753;SSNA;DA;AD0S31;DG;0D0163;V;1
U10753;SSNA;MD;SD0036;MD;SD0035;O;1
U10753;SSNA;DS;SD0E12;DS;SD0A12;O;1
U10753;SSNA;MD;SD0035;MD;SD0E33;O;1
U10753;SSNA;MD;SD0035;MD;SD0036;O;3
M8660;CFOR;AS;013259;AS;013842;O;78
M8660;CFOR;DI;0D0511;DI;0D0189;O;3
