ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE
U10750;SSNA;LP;P16006;1;0;0;0;0;0;1;0;0;0;0;0;0;0
U10750;SSNA;ST;S18920;0;0;0;0;0;5;3;0;0;0;0;0;0;0
U10750;SSNA;SI;S14056;0;0;8;0;0;1;0;0;4;23;0;0;8;0
U10750;SSNA;SV;S18921;0;0;1;0;1;4;6;0;0;0;0;0;0;0
U10750;SSNA;LA;A13018;0;5;3;0;9;1;0;0;2;1;0;3;0;0
U10750;SSNA;LA;A11030;0;1;2;0;0;0;0;0;0;0;1;0;0;0
U10750;SSNA;SF;S18922;0;0;0;0;0;1;1;0;0;0;0;1;1;5
U10750;SSNA;LT;T13059;0;2;6;4;2;17;0;0;0;0;0;0;3;0
U10750;SSNA;SV;S16022;2;3;1;0;1;2;31;0;0;1;0;0;0;2
U10750;SSNA;LT;T16024;0;1;0;0;1;4;2;1;0;1;0;4;6;19
U10750;SSNA;LA;A14005;3;25;4;21;10;38;0;2;20;7;16;3;43;0
U10750;SSNA;LT;T14E59;0;1;32;0;3;15;0;0;0;1;0;1;0;0
U10750;SSNA;SI;S18023;0;0;1;0;2;13;32;0;0;0;3;0;20;42
U10750;SSNA;LT;T12057;4;3;2;1;0;21;0;0;3;0;0;0;5;0
U10750;SSNA;SF;S16019;0;0;1;2;2;1;4;0;0;1;2;2;5;31
U10750;SSNA;LT;T18027;0;0;0;0;0;1;6;0;0;0;0;0;0;1
U10750;SSNA;LT;T12058;0;0;0;0;0;2;0;0;0;0;0;0;1;0
U10750;SSNA;ST;S16021;3;5;6;1;4;3;43;4;6;3;6;3;2;18
U10750;SSNA;LA;A12017;3;8;8;7;4;35;0;3;5;3;10;4;12;0
U10750;SSNA;LA;A16028;1;6;1;12;19;7;15;3;4;1;8;18;5;12
U10750;SSNA;LT;T13660;14;65;5;27;0;35;0;3;7;1;3;0;10;0
U10750;SSNA;LT;T14007;2;14;9;2;1;11;0;0;2;6;0;1;0;0
U10750;SSNA;LT;T11008;1;4;1;1;1;3;0;0;0;0;0;0;2;0
U10750;SSNA;SI;S16020;73;7;15;16;37;46;272;328;27;20;14;43;59;336
U10750;SSNA;LT;T16026;0;5;0;2;1;1;6;0;0;0;0;2;1;0
U10750;SSNA;LA;A18029;0;1;1;2;11;7;12;0;3;0;0;6;0;16
U10750;SSNA;LT;T18025;0;0;0;0;0;0;0;0;0;2;0;2;5;11
U9542;SSNA;SV;S16022;0;1;0;1;2;5;0;6;0;1;1;3;14;2
U9542;SSNA;LT;T12057;8;5;9;0;2;1;0;5;8;8;0;1;3;0
U9542;SSNA;LA;A13018;0;1;2;0;2;0;0;3;2;8;3;5;1;0
U9542;SSNA;LT;T14007;3;1;0;1;0;0;0;0;0;0;0;0;0;0
U9542;SSNA;SF;S16019;0;3;2;0;5;5;0;22;2;4;7;20;16;1
U9542;SSNA;LT;T13059;4;3;13;5;9;1;0;1;1;3;6;8;1;0
U9542;SSNA;ST;S16021;10;0;2;5;1;17;0;11;4;2;7;3;21;0
U9542;SSNA;LA;A12017;3;0;1;0;2;1;0;12;0;7;0;3;0;0
U9542;SSNA;LT;T13660;21;3;3;10;0;0;0;172;15;22;16;0;0;0
U9542;SSNA;LT;T18025;0;0;0;0;0;0;0;0;0;0;4;0;0;0
U9542;SSNA;SF;S18922;0;2;0;2;0;0;0;0;3;0;0;0;0;0
U9542;SSNA;SI;S16020;25;19;4;11;4;31;17;140;58;28;117;53;217;32
U9542;SSNA;SV;S18921;0;0;0;2;0;0;0;0;0;0;1;0;0;0
U9542;SSNA;LT;T11008;0;0;0;0;0;2;0;0;0;0;0;0;1;0
U9542;SSNA;LT;T16026;4;0;1;3;0;1;0;2;1;0;2;0;0;0
U9542;SSNA;ST;S18920;0;0;0;1;0;0;0;0;0;0;0;0;0;0
U9542;SSNA;LA;A18029;0;1;1;4;0;0;0;6;3;2;3;1;1;0
U9542;SSNA;SI;S14E52;0;0;5;0;0;0;0;0;6;10;0;0;0;0
U9542;SSNA;LT;T16024;2;0;1;0;0;0;0;9;1;1;1;1;1;0
U9542;SSNA;LT;T12058;1;1;0;0;0;0;0;0;0;0;0;0;2;0
U9542;SSNA;LT;T14E59;9;6;9;0;0;0;0;0;1;0;0;0;0;0
U9542;SSNA;LA;A14005;12;5;8;1;0;1;0;47;12;18;2;5;5;0
U9542;SSNA;LT;T18027;0;0;0;0;0;0;0;2;0;0;0;0;0;0
U9542;SSNA;LA;A16028;2;0;1;3;0;0;0;8;4;7;17;4;2;0
U9542;SSNA;SI;S18023;0;2;0;2;3;0;0;0;1;6;13;4;0;0
IR8544;ERIC;RI;0D0093;0;3;1;0;0;0;0;0;5;1;0;0;1;0
IR8544;ERIC;TC;0D0398;0;2;0;2;0;2;0;0;1;2;1;0;0;0
IR8544;ERIC;TC;0D0090;0;0;0;1;0;1;0;0;0;0;0;1;1;1
IR8544;ERIC;TC;0D0094;0;2;1;0;0;2;0;0;2;1;1;0;0;0
IR8544;ERIC;RI;0D0397;0;1;1;2;2;0;0;0;1;4;3;2;0;0
IR8544;ERIC;RI;0D0089;0;0;0;1;2;1;0;0;0;0;1;1;1;0
U10739;SSNA;LT;T16026;0;0;0;1;0;0;0;0;0;0;0;0;0;0
U10739;SSNA;SI;S18023;0;0;1;5;4;3;0;0;0;0;6;2;3;0
U10739;SSNA;LA;A14005;5;0;1;1;1;0;0;3;0;3;3;6;1;0
U10739;SSNA;ST;S18920;0;0;0;1;0;0;0;0;0;0;0;0;0;0
U10739;SSNA;ST;S16021;4;7;1;3;3;15;0;3;8;1;5;5;13;0
U10739;SSNA;ST;S00062;0;0;0;0;0;0;0;0;0;0;1;0;0;0
U10739;SSNA;SI;S16020;40;20;46;41;32;84;12;66;25;64;44;50;106;11
U10739;SSNA;LA;A12017;4;0;1;2;2;2;0;19;0;1;3;0;4;0
U10739;SSNA;LT;T16024;0;0;0;0;0;0;0;0;0;0;0;0;1;0
U10739;SSNA;LT;T12058;0;0;0;0;0;3;0;0;0;0;0;0;2;0
U10739;SSNA;LA;A18029;0;0;0;0;3;0;0;0;0;0;0;3;0;0
U10739;SSNA;LA;A13018;0;1;0;1;0;0;0;1;0;0;0;1;0;0
U10739;SSNA;LA;A16028;0;0;0;1;4;0;0;0;1;0;9;0;0;0
U10739;SSNA;SF;S16019;5;1;0;1;0;2;0;8;4;0;2;3;3;4
U10739;SSNA;LT;T12057;6;0;1;1;9;3;0;0;1;0;0;0;1;0
U10739;SSNA;LT;T14007;2;0;0;0;0;2;0;0;1;0;0;0;0;0
U10739;SSNA;LA;A11030;2;0;0;0;0;1;0;3;0;0;0;1;1;0
U10739;SSNA;SI;S14E52;0;0;11;0;0;0;0;0;0;8;0;0;0;0
U10739;SSNA;LT;T11008;2;0;0;0;1;7;0;0;0;1;0;5;8;0
IR10216;ERIC;RI;0D0089;0;0;0;4;12;17;2;0;0;0;3;7;6;1
IR10216;ERIC;TC;0D0094;0;9;1;1;3;12;0;1;3;1;0;5;3;0
IR10216;ERIC;TC;0D0090;0;0;0;0;0;0;0;0;0;0;1;1;0;0
IR10216;ERIC;TC;0D0398;0;0;0;6;1;0;0;0;0;0;3;9;0;0
IR10216;ERIC;RI;0D0397;0;0;7;16;21;14;1;0;0;6;8;12;9;0
IR10216;ERIC;RI;0D0093;65;29;7;22;9;9;0;86;13;7;12;14;5;0
AG9899;SSNA;LA;A14005;1;4;0;2;1;0;0;2;3;1;0;3;0;0
