ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C5732;RALN;CB;034000;C01;1;0
R9199;RALN;CB;034000;C99;0;1
C1894;RALN;CB;034000;C03;1;0
C5732;RALN;CB;034000;C99;2;0
C7762;RALN;CB;034000;C03;1;0
C1769;RALN;CB;034000;C03;0;1
C7174;RALN;CB;034000;C25;1;0
C4409;RALN;CB;034000;C03;0;1
CS10377;RALN;CB;034000;C99;0;1
C6348;RALN;CB;034000;C03;1;0
P9028;RALN;CB;034000;C03;1;0
C2441;RALN;CB;034000;C03;0;1
C1679;RALN;CB;034000;C01;1;0
C3890;RALN;CB;034000;C99;0;1
C4344;RALN;CB;034000;C99;1;0
C7096;RALN;CB;034000;C03;0;1
C1912;RALN;CB;034000;C03;1;0
C5263;RALN;CB;034000;C03;0;1
C3203;RALN;CB;034000;C03;1;0
C2684;RALN;CB;034000;C99;1;0
C7388;RALN;CB;034000;C01;0;1
C2249;RALN;CB;034000;C03;1;0
C3135;RALN;CB;034000;C03;1;0
C3119;RALN;CB;034000;C03;1;0
C6910;RALN;CB;034000;C99;1;0
C7120;RALN;CB;034000;C03;0;1
IP10315;RALN;CB;034000;C17;0;1
C3810;RALN;CB;034000;C99;0;1
C514;RALN;CB;034000;C03;0;1
C4409;RALN;CB;034000;C01;0;1
C1470;RALN;CB;034000;C03;2;0
P9073;RALN;CB;034000;C03;1;0
C3972;RALN;CB;034000;C21;0;1
CS10377;RALN;CB;034000;C03;0;2
C2128;RALN;CB;034000;C01;1;0
IP10222;RALN;CB;034000;C99;1;0
C3259;RALN;CB;034000;C03;0;1
C6630;RALN;CB;034000;C03;1;0
C3410;RALN;CB;034000;C99;1;0
C5182;RALN;CB;034000;C03;1;0
P9046;RALN;CB;034000;C01;0;1
C6144;RALN;CB;034000;C99;1;0
C5337;RALN;CB;034000;C99;1;0
C6698;RALN;CB;034000;C01;1;0
C2983;RALN;CB;034000;C01;0;1
C4347;RALN;CB;034000;C03;0;1
C649;RALN;CB;034000;C99;1;0
C7973;RALN;CB;034000;C21;1;0
C601;RALN;CB;034000;C03;1;0
C1831;RALN;CB;034000;C03;0;1
C6347;RALN;CB;034000;C17;0;1
P9046;RALN;CB;034000;C03;1;0
C2232;RALN;CB;034000;C21;1;0
C6472;RALN;CB;034000;C18;1;0
C6573;RALN;CB;034000;C01;1;0
C6931;RALN;CB;034000;C01;0;1
C1086;RALN;CB;034000;C01;1;0
C8196;RALN;CB;034000;C03;0;1
C4063;RALN;CB;034000;C03;0;1
C6484;RALN;CB;034000;C03;1;0
P9048;RALN;CB;034000;C03;1;0
C2066;RALN;CB;034000;C03;1;0
P9066;RALN;CB;034000;C01;1;0
P9074;RALN;CB;034000;C01;2;0
C5336;RALN;CB;034000;C01;0;1
C5226;RALN;CB;034000;C03;0;1
C7522;RALN;CB;034000;C03;0;1
C5336;RALN;CB;034000;C03;0;1
C505;RALN;CB;034000;C99;0;1
P9074;RALN;CB;034000;C99;0;2
P9096;RALN;CB;034000;C01;1;0
C4844;RALN;CB;034000;C01;1;0
C7068;RALN;CB;034000;C03;0;1
C1709;RALN;CB;034000;C03;0;1
C2072;RALN;CB;034000;C99;3;1
C307;RALN;CB;034000;C03;1;1
C6876;RALN;CB;034000;C01;0;1
P9083;RALN;CB;034000;C03;1;0
C7063;RALN;CB;034000;C03;1;0
R9813;RALN;CB;034000;C99;0;1
IP10513;RALN;CB;034000;C99;0;1
C6717;RALN;CB;034000;C99;1;0
AP197;RALN;CB;034000;C99;0;1
C2794;RALN;CB;034000;C01;1;0
IP10513;RALN;CB;034000;C03;1;1
