ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE
C2401;RALN;ND;CD;0;0;0;0;0;2
C2401;RALN;ND;CB;0;0;0;0;0;1
C2401;RALN;ND;CC;0;0;3;4;1;1
C5916;RALN;ND;CD;1;0;11;7;10;6
C5916;RALN;ND;CB;0;0;9;13;0;0
C5916;RALN;ND;CC;0;1;70;42;12;10
C5916;RALN;ND;CA;0;0;0;2;0;0
C1995;RALN;ND;CB;0;0;0;4;7;0
C1995;RALN;ND;CD;0;0;7;4;0;2
C1995;RALN;ND;CC;0;0;0;9;7;3
IP11860;RALN;ND;CB;0;0;0;8;0;0
C1799;RALN;ND;CB;0;0;0;0;3;2
C1799;RALN;ND;CA;0;0;0;2;0;0
C1799;RALN;ND;CD;0;0;1;0;0;0
C1799;RALN;ND;CC;0;0;6;4;1;1
C7250;RALN;ND;CC;0;0;9;8;5;4
P9072;RALN;ND;CB;0;0;7;4;40;0
P9072;RALN;ND;CA;0;0;0;4;0;1
P9072;RALN;ND;CC;0;0;8;1;19;6
P9072;RALN;ND;CD;0;0;4;0;9;0
C6395;RALN;ND;CC;0;0;15;8;0;0
C6395;RALN;ND;CD;0;0;1;0;0;0
C6223;RALN;ND;CC;0;0;1;2;0;0
C7697;RALN;ND;CC;0;0;0;0;4;3
C1683;RALN;ND;CD;0;0;1;0;0;0
C1683;RALN;ND;CC;0;0;4;0;0;0
C3262;RALN;ND;CC;0;0;1;0;0;0
C3262;RALN;ND;CD;0;0;1;0;0;0
C4975;RALN;ND;CC;0;0;2;0;2;2
C7973;RALN;ND;CA;0;0;1;0;0;0
C7973;RALN;ND;CC;0;0;55;34;0;0
C7973;RALN;ND;CB;0;0;2;7;0;0
C7973;RALN;ND;CD;0;0;25;5;0;0
C1770;RALN;ND;CB;0;0;42;12;14;2
C1770;RALN;ND;CC;0;0;54;10;44;3
C1770;RALN;ND;CA;0;0;4;4;1;0
C1770;RALN;ND;CD;0;0;36;9;29;4
C4209;RALN;ND;CC;0;0;4;2;0;0
P9100;RALN;ND;CD;0;0;9;0;9;0
P9100;RALN;ND;CC;0;0;27;2;11;0
P9100;RALN;ND;CA;0;0;0;0;2;1
P9100;RALN;ND;CB;0;0;0;0;12;0
C5562;RALN;ND;CC;0;0;2;4;0;2
C7677;RALN;ND;CB;0;0;0;0;1;0
C7677;RALN;ND;CA;0;0;0;0;2;0
C7677;RALN;ND;CC;0;0;1;0;1;1
C4630;RALN;ND;CC;0;0;3;2;0;0
C4940;RALN;ND;CC;0;0;0;2;0;2
C2314;RALN;ND;CC;0;0;2;0;1;0
C3886;RALN;ND;CD;0;0;2;0;4;0
C3886;RALN;ND;CC;0;0;3;2;4;1
C3886;RALN;ND;CB;0;0;0;0;1;0
C7068;RALN;ND;CD;0;2;18;3;21;6
C7068;RALN;ND;CB;0;0;1;3;4;0
C7068;RALN;ND;CC;2;1;44;14;48;14
ER10538;RESA;NF;CC;6;3;0;0;0;0
ER10538;RESA;NF;CB;0;2;0;0;0;0
ER10538;RESA;NF;CD;2;7;0;0;0;0
ER10538;RESA;NF;CA;1;0;0;0;0;0
Q9146;UNIV;ND;CD;1;2;128;105;22;11
IP10501;SSNA;ME;SF;0;0;0;2;0;0
IP10501;SSNA;ME;SI;0;0;0;5;0;0
IP10501;SSNA;ME;LT;0;0;1;23;0;0
CM12344;RALN;ND;CB;0;2;4;1;55;1
CM12344;RALN;ND;CD;2;12;5;0;5;0
CM12344;RALN;ND;CC;3;2;23;6;15;1
C2670;RALN;ND;CC;0;0;31;5;37;5
C2670;RALN;ND;CB;0;0;0;0;13;2
C2670;RALN;ND;CD;0;0;0;0;2;0
C5778;RALN;ND;CC;0;0;5;1;0;0
C4966;RALN;ND;CD;0;0;1;0;0;0
C4966;RALN;ND;CC;0;0;4;2;0;0
C7331;RALN;ND;CC;0;0;0;0;2;0
C5216;RALN;ND;CC;0;0;2;1;2;1
C5216;RALN;ND;CD;0;0;1;1;1;1
C4241;RALN;ND;CC;0;0;9;4;10;8
C4241;RALN;ND;CD;0;0;2;0;2;2
C4241;RALN;ND;CB;0;0;0;0;5;0
C1755;RALN;ND;CA;0;0;0;0;4;0
C1755;RALN;ND;CD;0;0;2;0;3;3
C1755;RALN;ND;CC;0;0;15;5;18;5
C1755;RALN;ND;CB;0;0;0;0;1;0
C7763;RALN;ND;CC;0;0;13;2;13;2
C7763;RALN;ND;CB;0;0;2;12;4;12
C7763;RALN;ND;CD;0;0;3;0;3;0
UC10492;RALN;ND;CC;0;0;6;9;0;0
UC10492;RALN;ND;CD;0;0;2;3;0;0
C8054;RALN;ND;CD;0;0;1;0;3;1
C8054;RALN;ND;CB;0;0;0;0;6;1
C8054;RALN;ND;CC;0;0;15;6;3;1
C2751;RALN;ND;CC;0;0;10;1;13;3
C2751;RALN;ND;CB;0;0;0;0;5;0
C2751;RALN;ND;CD;0;0;4;1;5;2
C8298;RALN;ND;CC;0;0;5;3;5;3
C8298;RALN;ND;CD;0;0;1;0;1;0
C3229;RALN;ND;CC;0;0;1;0;2;1
P9081;RALN;ND;CB;0;0;0;0;7;0
P9081;RALN;ND;CC;0;0;0;0;4;1
C6764;RALN;ND;CB;0;0;0;0;4;0
C6764;RALN;ND;CC;0;0;0;0;2;1
C6764;RALN;ND;CD;0;0;0;0;1;1
C7123;RALN;ND;CC;0;0;4;1;0;0
C7123;RALN;ND;CB;0;0;3;0;2;0
UC12257;RALN;ND;CD;1;1;0;0;1;0
C8118;RALN;ND;CD;1;0;0;0;0;0
IP10639;RALN;ND;CC;0;0;1;11;0;0
IP10639;RALN;ND;CB;0;0;4;76;0;0
C2567;RALN;ND;CC;0;0;12;7;1;0
C2567;RALN;ND;CD;0;0;2;1;1;1
C1903;RALN;ND;CC;0;0;0;0;1;0
C1564;RALN;ND;CB;0;0;0;0;0;1
C1564;RALN;ND;CA;0;0;0;0;4;0
C1564;RALN;ND;CC;0;0;13;7;14;7
ER11079;SSNA;ME;MD;0;0;26;20;39;21
ER11079;SSNA;ME;DT;0;0;0;0;3;0
ER11079;SSNA;ME;SI;0;0;50;188;16;39
ER11079;SSNA;ME;ST;0;0;14;21;10;16
ER11079;SSNA;ME;LT;0;0;6;43;13;14
ER11079;SSNA;ME;LA;0;0;1;2;0;0
ER11079;SSNA;ME;SF;0;0;0;4;0;0
C12296;RALN;ND;CC;0;0;11;14;10;6
C12296;RALN;ND;CD;0;0;4;0;4;0
C12296;RALN;ND;CB;0;0;4;3;12;0
C12296;RALN;ND;CA;0;0;0;1;0;0
UC11827;RALN;ND;CD;0;0;2;0;0;0
UC11827;RALN;ND;CC;0;0;4;4;0;0
C2642;RALN;ND;CA;0;0;13;0;2;0
C2642;RALN;ND;CD;0;0;3;0;8;0
C2642;RALN;ND;CB;0;0;10;0;9;1
C2642;RALN;ND;CC;0;0;66;33;46;14
C3488;RALN;ND;CC;0;0;17;4;22;4
C3488;RALN;ND;PC;0;0;1;1;1;0
C3488;RALN;ND;CD;0;0;2;0;2;0
Q9135;UNIV;ND;CD;0;0;0;0;1;0
Q9135;UNIV;ND;CC;0;0;0;0;4;0
Q9135;UNIV;ND;CB;0;0;15;5;2;0
C8108;RALN;ND;CC;0;0;5;2;0;2
C8108;RALN;ND;CD;0;0;1;0;1;0
C8108;RALN;ND;CB;0;0;0;0;5;1
C226;RALN;ND;CC;0;0;43;4;49;6
C226;RALN;ND;CA;0;0;3;0;7;0
C226;RALN;ND;CB;0;0;1;0;7;1
C4623;RALN;ND;CB;0;0;0;0;0;1
C4623;RALN;ND;CD;0;0;1;0;0;1
C4623;RALN;ND;CC;0;0;1;3;0;1
C1967;RALN;ND;CC;0;0;2;2;1;2
C1967;RALN;ND;CB;0;0;0;0;5;1
C510;RALN;ND;CB;0;0;0;0;2;1
C510;RALN;ND;CC;0;0;2;0;1;0
C3430;REFR;SC;CB;0;0;0;0;0;1
C3430;REFR;SC;CC;0;0;0;0;1;0
CM9123;RALN;ND;CB;1;0;0;0;26;2
CM9123;RALN;ND;CD;0;0;2;0;6;0
CM9123;RALN;ND;CC;0;1;16;2;31;2
C7394;RALN;ND;CC;0;0;11;1;13;2
C7394;RALN;ND;CD;0;0;1;0;1;1
C12258;RALN;ND;CD;0;0;0;0;1;0
C12258;RALN;ND;CC;0;0;0;0;0;2
C12258;RALN;ND;CB;0;0;0;0;0;1
C5653;RALN;ND;CD;0;0;0;1;0;0
C5653;RALN;ND;CC;0;0;6;0;6;0
C726;RALN;ND;CD;0;0;1;0;3;1
C726;RALN;ND;CB;0;0;0;0;3;0
C726;RALN;ND;CC;0;0;1;1;3;0
ER9951;RALN;ND;CB;0;1;0;0;0;0
ER9951;RALN;ND;CC;1;5;0;0;0;0
C4900;RALN;ND;CC;0;0;1;0;0;0
C4113;RALN;ND;CB;0;0;0;0;3;0
C4113;RALN;ND;CC;0;0;1;0;0;0
C7374;RALN;ND;CB;0;0;0;0;2;0
C4658;RALN;ND;CC;0;0;4;4;4;3
C4658;RALN;ND;CB;0;0;0;7;7;0
C4658;RALN;ND;CD;0;0;1;1;2;1
C5810;RALN;ND;CA;0;0;0;0;1;0
C5810;RALN;ND;CB;0;0;1;0;2;0
C5810;RALN;ND;CD;0;0;0;0;1;0
C5810;RALN;ND;CC;0;0;16;0;16;0
C4138;RALN;ND;CB;0;0;0;0;9;2
C4138;RALN;ND;CC;0;0;7;3;8;4
C4138;RALN;ND;CD;0;0;4;0;2;0
C6546;RALN;ND;CB;0;0;0;0;3;0
C6546;RALN;ND;CC;0;0;4;0;4;0
C3013;RALN;ND;CD;0;0;2;0;0;0
C3013;RALN;ND;CC;0;0;5;4;0;0
UC12281;RALN;ND;CC;0;0;0;8;0;0
UC12281;RALN;ND;CB;0;0;1;3;0;0
C2597;RALN;ND;CC;0;0;2;2;0;0
C1320;RALN;ND;CC;0;0;6;0;0;0
C2274;RALN;ND;CC;0;0;2;5;0;2
C2274;RALN;ND;CB;0;0;1;1;15;0
C2274;RALN;ND;CD;0;0;1;1;0;0
C2274;RALN;ND;CA;0;0;0;1;0;0
IP10581;RALN;ND;CB;0;0;0;3;0;0
C3521;RALN;ND;CB;0;0;0;6;1;0
C3521;RALN;ND;CC;0;0;0;1;1;0
C4121;RALN;ND;CD;0;0;0;0;0;1
C4430;RALN;ND;CB;0;0;0;0;2;1
C4430;RALN;ND;CC;0;0;0;0;1;1
UC10187;RALN;ND;CC;0;0;2;0;0;0
UC10187;RALN;ND;CD;0;0;0;1;0;0
LS12198;LS13;NF;LI;0;0;0;0;3;3
C2748;RALN;ND;CC;0;0;5;0;0;0
U10903;SSNA;ME;MD;0;0;194;93;153;70
U10903;SSNA;ME;SF;0;0;1;0;0;0
