ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2019;UNIV;F;FINANZIA;03N;ART 63 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2019;UNIV;F;FINANZIA;10W;ART. 63 C 2 L F CCNL 16-18 - INCR. 0,1% M.S. 2015 - BCD;+
2019;UNIV;F;FINANZIA;03O;ART 63 C 2 L A CCNL 16-18 - RIA PERS. BCD CESSATO MIS INTERA;+
2019;UNIV;F;FINANZIA;03T;ART 63 C 2 L D CCNL 16-18 - INCR STAB DOT ORG E RELAT COPERT;+
2019;UNIV;F;FINANZIA;03U;ART 63 C 2 L E CCNL 16-18 - DIFF STIP BCD CESS ANNO PREC;+
2019;ERIC;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;UCAM;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;RALN;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;EPNE;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;SSNA;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;UNIV;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;MNST;F;FINANZIA;50H;ART 43 L 449/1997 - ENTR. CONTO TERZI O UTENZA O SPONSOR.;+
2019;UNIV;F;FINANZIA;03W;ART 63 C 3 L D CCNL 16-18 - RIA CESS ANNO PREC MENS RESID;+
2019;UNIV;F;FINANZIA;03X;ART 63 C 3 L D CCNL 16-18 - DIFF STIP BCD CESS RATEO;+
2019;UNIV;F;FINANZIA;03Y;ART 63 C 3 L E CCNL 16-18 - RISP STRAORD CONS ANNO PREC;+
2019;UNIV;F;FINANZIA;04L;ART 64 C 6 CCNL 16-18 - RISORSE NON UTILIZZATE ANNO PRECED;+
2019;UNIV;F;FINANZIA;04J;ART 63 C 3 L F CCNL 16-18 - NUOVI SERVIZI O ACCR SERV ES;+
2019;UNIV;F;FINANZIA;04N;DIFFERENZIALI STIPENDIALI A CARICO BILANCIO - RISORSE BCD;+
2019;UNIV;F;FINANZIA;04O;ART 65 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2019;SSNA;F;FINANZIA;01X;ART 80 C 2 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2019;SSNA;F;FINANZIA;12L;ART 80 C3 L A CCNL 16-18 - INCREM 91,00 EURO DAL 31.12.2018;+
2019;SSNA;F;FINANZIA;02S;ART 81 C 2 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2019;SSNA;F;FINANZIA;01Z;ART 81 C 3 L A CCNL 16-18 - RIDET PER INCREM STIP CCNL;+
2019;MNST;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2019;ERIC;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2019;REVA;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2019;AGFI;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2019;REFR;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2019;PCMD;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
2019;RALN;F;FINANZIA;995;ALTRE RISORSE VARIABILI;+
