ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2018;RALN;U;UTILIZZO;00H;ART 68 C 2 L B CCNL 16-18 - PERFORMANCE INDIVIDUALE;+
2018;RALN;U;UTILIZZO;24I;L. 662/1996 DLGS 446/1997 - INCENTIVI REC. EV. ICI;+
2018;RALN;F;FINANZIA;00B;ART 67 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2018;RALN;F;FINANZIA;00Z;ART 67 C 2 L B CCNL 16-18 - RIDET. PER INCREM. STIP. CCNL;+
2018;RALN;F;FINANZIA;01U;ARTT 15 C 4, 67 C 1 CCNL 16-18 - RIS. DEST. P.O. 2017;+
2018;RALN;F;FINANZIA;03Q;ART 7 C 4 L U CCNL 16-18 - DEC. RISORSE DESTINATE P.O.;-
2018;RESA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;ENAC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;MNST;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;REVA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;UNIV;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;REFR;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;AFAM;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;EPNE;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;UCAM;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;CNEL;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;PCMD;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;ERIC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;SCLA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;RESI;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;SSNA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;RALN;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2018;RALN;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;UNIV;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;ERIC;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;PCMD;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;REVA;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;REFR;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;EPNE;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;RESA;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;ENAC;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;CNEL;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;RESI;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;UCAM;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;MNST;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;SSNA;F;FINANZIA;01P;ALTRE DECURTAZIONI;-
2018;SSNA;F;FINANZIA;70G;IMPORTO CONSOLIDATO AL 31.12.07 (ART. 10 C. 1 CCNL 08-09);+
2018;SSNA;F;FINANZIA;05I;INCR. CCNL 06-09 (ART. 27 C. 2, ALINEA 2 - NETTO ALINEA 1);+
2018;SSNA;F;FINANZIA;74G;INCREMENTI CCNL 08-09 (ART. 10 C. 2);+
2018;SSNA;F;FINANZIA;989;ALTRE RISORSE FONDO RISULTATO / PARTE FISSA;+
2018;SSNA;F;FINANZIA;961;PROGRAMMI CONCORDATI (ART. 52 C. 5 L. B CCNL 98-01);+
2018;SSNA;U;UTILIZZO;265;RETRIBUZIONE DI POSIZIONE UNIFICATA;+
2018;SSNA;U;UTILIZZO;45A;RETRIBUZIONE DI POSIZIONE PARTE VARIABILE AZIENDALE;+
2018;EPNE;U;UTILIZZO;45A;RETRIBUZIONE DI POSIZIONE PARTE VARIABILE AZIENDALE;+
2018;SSNA;U;UTILIZZO;268;INDENNITÀ DI INCARICO DI DIREZIONE DI STRUTTURA COMPLESSA;+
2018;RESA;U;UTILIZZO;269;ALTRI ISTITUTI FONDO POSIZIONE;+
2018;SSNA;U;UTILIZZO;269;ALTRI ISTITUTI FONDO POSIZIONE;+
2018;RESI;U;UTILIZZO;273;STRAORDINARIO;+
2018;SSNA;U;UTILIZZO;273;STRAORDINARIO;+
