ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERNO_UOMINI;COMANDATI_DISTACCATI_ESTERNO_DONNE;FUORI_RUOLO_ESTERNO_UOMINI;FUORI_RUOLO_ESTERNO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERNO_UOMINI;CONVENZIONI_ESTERNO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C4994;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6008;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
UC12429;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7813;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C7331;RALN;CC;0C1000;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C4104;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C5945;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1
C4101;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5802;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4945;RALN;CC;0C1000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C2056;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
R9197;RALN;CC;0C1000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
C7912;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
CM9114;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC10354;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
C7900;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1869;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
C4229;RALN;CC;0C1000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7886;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6490;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C264;RALN;CC;0C1000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1918;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4447;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6782;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1697;RALN;CC;0C1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C3653;RALN;CC;0C1000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
