ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
AA37;SSNA;MD;SD0035;MD;SD0036;O;1
AA37;SSNA;MD;SD0036;MD;SD0E33;O;1
AA37;SSNA;DA;AD0A31;DA;AD0S31;O;1
AA37;SSNA;MD;SD0035;MD;SD0E33;O;2
AA37;SSNA;DP;PD0A03;DP;PD0004;O;1
AA37;SSNA;MD;SD0035;MD;SD0E34;O;1
AA37;SSNA;MD;SD0E34;MD;SD0035;O;1
AA37;SSNA;MD;SD0036;MD;SD0035;O;2
AA37;SSNA;MD;SD0035;MD;SD0597;O;2
AA37;SSNA;LT;T13660;LA;A13870;V;1
AA37;SSNA;MD;SD0597;MD;SD0035;O;1
AG9899;SSNA;DT;TD0S70;DA;AD0S31;V;1
AG9899;SSNA;PS;SD0SE1;PS;SD0CO1;O;1
AG9899;SSNA;LA;A16028;LT;T16026;V;3
AP192;SSNA;LA;A12017;LA;A14005;O;6
AP192;SSNA;LA;A14005;LA;A16028;O;1
AP192;SSNA;LT;T16026;LT;T18868;O;1
AP192;SSNA;DT;TD0S01;DT;TD0002;O;1
AP192;SSNA;LT;T13059;LT;T14007;O;1
AP192;SSNA;DT;TD0A02;DT;TD0S02;O;9
AP192;SSNA;LT;T12057;LT;T14007;O;3
AP192;SSNA;LA;A13870;LA;A14005;O;4
AP192;SSNA;CH;SD0E15;CH;SD0E16;O;1
AP192;SSNA;BI;SD0A12;BI;SD0E12;O;2
AP192;SSNA;CH;SD0A15;CH;SD0E15;O;3
AP192;SSNA;FI;SD0A41;FI;SD0E41;O;1
AP193;SSNA;LT;T18868;DT;TD0A02;V;1
AP193;SSNA;LT;T18868;DT;TD0S02;V;1
AP193;SSNA;CH;SD0A15;CH;SD0E15;O;1
AP194;SSNA;DT;TD0S02;DT;TD0C02;O;1
AP194;SSNA;DG;0D0163;DA;AD0032;V;1
AP194;SSNA;CH;SD0E16;DG;0D0482;V;1
AP194;SSNA;DG;0D0482;FI;SD0E42;V;1
AP194;SSNA;LA;A12017;LA;A14005;O;1
AP194;SSNA;LT;T14007;LT;T16026;O;2
AP194;SSNA;DT;TD0A02;DT;TD0S02;O;2
AP195;SSNA;DP;PD0A45;DP;PD0S45;O;1
AP195;SSNA;FI;SD0A41;FI;SD0E41;O;1
AP195;SSNA;LA;A18869;DA;AD0S31;V;1
AP195;SSNA;LA;A14005;LA;A16028;O;1
AP195;SSNA;DA;AD0612;DA;AD0032;O;1
AP195;SSNA;SV;S16022;DT;TD0S02;V;1
AP195;SSNA;LT;T16026;DT;TD0S02;V;2
AP195;SSNA;DT;TD0810;DT;TD0S02;O;4
AP196;SSNA;DP;PD0A45;DP;PD0S45;O;3
AP196;SSNA;FI;SD0E41;FI;SD0E42;O;2
AP199;SSNA;DT;TD0071;DT;TD0S70;O;1
AP199;SSNA;DT;TD0810;DP;PD0A45;V;1
AP199;SSNA;LT;T18868;DP;PD0A45;V;1
AP199;SSNA;LA;A16028;DA;AD0A31;V;1
AP199;SSNA;LT;T16026;SV;S16022;V;1
AP199;SSNA;LT;T18868;DP;PD0A43;V;1
AP199;SSNA;LT;T16026;DT;TD0A02;V;1
AP199;SSNA;DT;TD0A02;DT;TD0S02;O;3
AP199;SSNA;DT;TD0810;DT;TD0A02;O;1
AP199;SSNA;LT;T16026;DT;TD0S02;V;1
AP199;SSNA;SV;S18865;DT;TD0A02;V;1
AP199;SSNA;LT;T14007;LT;T16026;O;1
AP199;SSNA;LA;A18869;DA;AD0A31;V;1
AP199;SSNA;LA;A13870;LA;A14005;O;1
AP199;SSNA;DT;TD0810;DT;TD0S02;O;1
AP201;SSNA;DT;TD0A01;DT;TD0S01;O;1
AP201;SSNA;DT;TD0A02;DT;TD0S02;O;1
AP201;SSNA;DA;AD0A31;DA;AD0S31;O;1
AP201;SSNA;DT;TD0S02;DT;TD0C02;O;1
AP202;SSNA;CH;SD0E16;DA;AD0032;V;2
AP202;SSNA;LA;A14005;LA;A16028;O;5
AP202;SSNA;FI;SD0E41;FI;SD0E42;O;2
AP202;SSNA;LT;T13059;LA;A13870;V;1
AP202;SSNA;LA;A11030;LA;A12017;O;2
AP202;SSNA;LA;A12017;LA;A14005;O;6
AP202;SSNA;LT;T14007;LT;T16026;O;5
AP202;SSNA;LA;A13870;LA;A14005;O;8
AP202;SSNA;BI;SD0A12;BI;SD0E12;O;2
AP202;SSNA;DP;PD0A45;DP;PD0046;O;1
AP202;SSNA;CH;SD0E15;CH;SD0E16;O;1
AP202;SSNA;LT;T12057;LT;T14007;O;1
AP202;SSNA;FI;SD0A41;FI;SD0E41;O;1
AP202;SSNA;DT;TD0A02;DT;TD0S02;O;3
AP202;SSNA;LT;T13059;LT;T14007;O;1
AP9835;SSNA;LT;T12057;LA;A12017;V;1
AP9835;SSNA;CH;SD0E15;CH;SD0E16;O;2
AP9835;SSNA;LA;A14005;LA;A16028;O;1
AP9835;SSNA;LT;T14007;LT;T16026;O;1
AP9835;SSNA;DA;AD0612;DA;AD0032;O;1
AP9841;SSNA;DT;TD0S02;DT;TD0C02;O;1
AP9841;SSNA;DA;AD0A31;DA;AD0032;O;1
AP9841;SSNA;BI;SD0E12;BI;SD0E13;O;1
AP9841;SSNA;LA;A14005;LA;A16028;O;2
AP9855;SSNA;LA;A18869;DA;AD0A31;V;1
AP9855;SSNA;DA;AD0A31;DA;AD0S31;O;1
AP9855;SSNA;LA;A13870;LA;A14005;O;3
AP9855;SSNA;LT;T16026;LT;T18868;O;3
AP9855;SSNA;LT;T18868;DT;TD0810;V;1
AP9855;SSNA;DT;TD0A02;DT;TD0S02;O;1
AP9855;SSNA;LA;A16028;LA;A18869;O;1
AP9855;SSNA;DT;TD0S02;DT;TD0C02;O;2
AP10042;SSNA;LT;T14007;LT;T14S59;O;3
AP10042;SSNA;DP;PD0S45;DP;PD0046;O;2
AP10042;SSNA;LT;T18868;SV;S18865;V;1
AP10081;SSNA;LA;A16028;LA;A14005;O;1
AP10081;SSNA;DT;TD0A02;DT;TD0S02;O;1
AP10081;SSNA;DA;AD0A31;DA;AD0S31;O;1
AP11913;SSNA;SV;S16022;ST;S16021;V;5
CS11100;SSNA;LT;T14063;LT;T14007;O;1
CS11112;SSNA;SF;S14053;SF;S16019;O;3
ER11079;SSNA;MD;SD0035;MD;SD0E34;O;3
ER11079;SSNA;DA;AD0032;DG;0D0163;V;1
ER11079;SSNA;DT;TD0S01;DT;TD0A01;O;2
ER11079;SSNA;MD;SD0035;MD;SD0036;O;2
ER11079;SSNA;MD;SD0035;MD;SD0E33;O;1
ER12895;SSNA;LA;A14005;LA;A16028;O;1
ER14013;SSNA;DT;TD0A01;DT;TD0S01;O;1
ER14013;SSNA;LA;A12017;LA;A14005;O;1
ER14013;SSNA;MD;SD0035;MD;SD0E34;O;1
ER14013;SSNA;DA;AD0A31;DA;AD0032;O;1
