ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;FASCIA7_UOMINI;FASCIA8_UOMINI;FASCIA9_UOMINI;FASCIA10_UOMINI;FASCIA11_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE;FASCIA7_DONNE;FASCIA8_DONNE;FASCIA9_DONNE;FASCIA10_DONNE;FASCIA11_DONNE
AP201;SSNA;LT;T11008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
AP201;SSNA;SV;S16022;0;1;1;0;0;0;7;0;0;0;0;0;0;1;1;0;0;0;6;0;0;0;0;0
AP201;SSNA;LA;A16028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0
AP201;SSNA;LT;T18868;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AP201;SSNA;LT;T16026;13;1;9;6;4;3;3;0;0;0;0;0;5;3;6;32;10;3;2;0;0;0;0;0
AP201;SSNA;SV;S18865;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
AP201;SSNA;LT;T14S59;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AP201;SSNA;LA;A14005;0;0;0;3;0;1;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0
AP201;SSNA;LT;T12057;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;5;0;0;0;0;0;0
AP201;SSNA;LA;A13870;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0
AP201;SSNA;LA;A18869;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
AP201;SSNA;LA;A12017;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0
AP201;SSNA;LT;T14063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AP201;SSNA;LT;T14007;6;1;6;1;1;1;0;0;0;0;0;0;4;1;5;1;0;1;0;0;0;0;0;0
IR9961;ERIC;RI;0D0093;2;1;1;0;0;0;0;0;0;0;0;0;1;10;5;2;0;0;0;0;0;0;0;0
IR9961;ERIC;RI;0D0397;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0
IR9961;ERIC;TC;0D0398;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
IR9961;ERIC;TC;0D0090;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
IR9961;ERIC;RI;0D0089;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IR9961;ERIC;TC;0D0094;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
IP10855;SSNA;LT;T13660;0;1;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0
IP10855;SSNA;LT;T13059;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IP10855;SSNA;LA;A13870;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
IP10855;SSNA;LT;T12058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
IP10855;SSNA;LA;A11030;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IP10855;SSNA;SI;S16020;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
IP10855;SSNA;SI;S18863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IP10855;SSNA;SF;S16019;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CV14406;AFAM;PA;011121;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
CV14406;AFAM;EP;013159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
CV14406;AFAM;AR;011124;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
