ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE;PERS_LAVORO_AGILE_U;PERS_LAVORO_AGILE_D;PERS_COWORKING_U;PERS_COWORKING_D
P9124;RALN;ND;CD;1;0;2;0;0;0;0;0;0;0
P9124;RALN;ND;CC;0;1;11;1;0;0;0;0;0;0
P9124;RALN;ND;CB;0;0;0;0;1;0;0;0;0;0
C7982;RALN;ND;CB;0;0;0;0;1;0;0;0;0;0
C7982;RALN;ND;CC;0;0;3;1;3;1;1;2;0;0
C7982;RALN;ND;CD;0;0;0;0;0;1;0;0;0;0
UC12397;RALN;ND;CB;0;0;0;1;0;0;0;0;0;0
UC12397;RALN;ND;CC;0;0;24;11;0;0;0;2;0;0
UC12397;RALN;ND;CD;0;0;3;3;0;0;0;0;0;0
P9076;RALN;ND;CB;0;0;3;0;13;0;2;4;0;0
P9076;RALN;ND;CC;0;0;0;0;7;2;8;16;0;0
P9076;RALN;ND;CD;0;0;0;0;10;3;16;30;0;0
IP10999;PRTN;NF;CC;0;0;0;0;0;0;0;1;0;0
C2031;RALN;ND;CD;0;0;0;0;2;1;0;0;0;0
C6482;RALN;ND;CB;0;0;3;2;1;1;0;0;0;0
C6482;RALN;ND;CC;0;0;23;6;3;5;0;7;0;0
C6482;RALN;ND;CD;0;0;4;0;1;2;0;3;0;0
C4064;REFR;SC;XA;0;0;3;0;0;0;0;0;0;0
Q9148;UNIV;ND;CE;0;0;0;0;0;0;5;21;0;0
Q9148;UNIV;ND;AL;0;0;0;0;0;0;2;7;0;0
Q9148;UNIV;ND;CB;0;0;2;0;0;0;5;4;0;0
Q9148;UNIV;ND;CD;1;2;2;10;0;0;86;225;0;0
Q9148;UNIV;ND;CC;0;0;3;9;0;0;64;172;0;0
C617;RALN;ND;CB;0;0;0;0;7;0;0;0;0;0
C617;RALN;ND;CD;0;0;2;0;1;0;0;0;0;0
C617;RALN;ND;CC;0;0;2;1;3;4;0;0;0;0
