ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2017;A;070;RECUPERI PER RITARDI ASSENZE ECC.;-
2017;A;031;R.I.A.;+
2017;A;035;"TREDICESIMA MENSILITA'";+
2017;A;032;PROGRESSIONE PER CLASSI E SCATTI/FASCE RETRIBUTIVE;+
2017;A;015;STIPENDIO;+
2017;A;045;ARRETRATI PER ANNI PRECEDENTI;+
2017;A;020;I.I.S.;+
2017;T;101;STRAORDINARIO;+
2017;I;422;IND. DI VACANZA CONTRATTUALE;+
2017;S;212;ALTRI COMPENSI PER PARTICOLARI CONDIZIONI DI LAVORO;+
2017;S;204;"PRONTA DISPONIBILITA'";+
2017;S;616;"INDENNITA'  FUNZIONE POSIZIONI ORGANIZZATIVE";+
2017;S;999;"ALTRE SPESE ACCESSORIE ED INDENNITA' VARIE";+
2017;I;424;INDENNITÀ ART. 42, COMMA 5-TER, D.LGS. 151/2001;+
2017;I;533;"INDENNITA' PROFESSIONALE SPECIFICA";+
2017;S;630;"COMPENSI PRODUTTIVITA'";+
2017;S;806;"INDENNITA' DI COORDINAMENTO";+
2017;I;418;ASSEGNO AD PERSONAM;+
2017;S;761;"COMPETENZE PERSONALE COMANDATO/DISTACCATO PRESSO L'AMM.NE";+
2017;S;998;ARRETRATI ANNI PRECEDENTI;+
2017;S;820;COMPENSO PER TURNI DI GUARDIA NOTTURNI DIRIGENTI;+
2017;I;507;RETRIBUZIONE DI POSIZIONE - QUOTA VARIABILE;+
2017;S;720;INCENTIVI PER FUNZIONI TECNICHE;+
2017;I;212;RETRIBUZIONE DI RISULTATO;+
2017;I;207;RETRIBUZIONE DI POSIZIONE;+
2017;S;203;ALTRI COMPENSI ACCESSORI PERSONALE UNIVERSITARIO;+
2017;I;421;"INDENNITA' DE MARIA";+
2017;I;216;"INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA";+
2017;I;202;IND DIREZ. STRUTT. COMP.;+
2017;I;204;"INDENNITA' DI ESCLUSIVITA'";+
2017;I;227;MAGGIORAZIONE RETRIB. DI POSIZIONE DIRETTORE DIPARTIMENTO;+
2017;S;750;ONORARI AVVOCATI;+
2017;I;222;INDENNITA DI COMPARTO;+
2017;I;125;IND. DI VIGILANZA;+
2017;S;604;COMPENSI ONERI RISCHI E DISAGI;+
2017;S;615;"INDENNITA' PER SPECIFICHE RESPONSABILITA'";+
2017;I;143;PERSONALE SCOLASTICO;+
2017;S;190;"INDENNITA' DI STAFF/COLLABORAZIONE";+
2017;S;710;COMPENSO AGGIUNTIVO AL SEGR. COMUNALE QUALE DIR. GENERALE;+
2017;S;740;DIRITTI DI ROGITO-SEGRETERIA CONV.- IND.SCAVALCO;+
