ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2021;AFAM;AT;3;Fondo dell'istituzione scolastica;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AFAM;AT;3;Fondo dell'istituzione scolastica;9;Risorse variabili;F;FINANZIA
2021;AFAM;AT;3;Fondo dell'istituzione scolastica;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AFAM;AT;3;Fondo dell'istituzione scolastica;81;Decurtazioni;F;FINANZIA
2021;AFAM;NF;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AFAM;NF;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2021;AFAM;NF;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AFAM;NF;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2021;AGFI;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AGFI;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2021;AGFI;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGFI;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2021;AGFI;ND;53;Posizioni organizzative (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2021;AGFI;ND;53;Posizioni organizzative (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGFI;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2021;AGFI;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGFI;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AGFI;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2021;AGFI;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGFI;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2021;AGFI;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AGFI;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2021;AGFI;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGFI;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2021;AGID;ND;30;Poste temporaneamente allocate all'esterno del Fondo;2;Risorse a carico del bilancio;F;FINANZIA
2021;AGID;ND;30;Poste temporaneamente allocate all'esterno del Fondo;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGID;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AGID;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2021;AGID;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGID;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2021;AGID;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2021;AGID;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGID;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AGID;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2021;AGID;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGID;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2021;AGID;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2021;AGID;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2021;AGID;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2021;AGID;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2021;ASSI;ND;23;Risorse attività prestazioni committenti esterni;9;Risorse variabili;F;FINANZIA
2021;ASSI;ND;23;Risorse attività prestazioni committenti esterni;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
