ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2021;A;045;ARRETRATI PER ANNI PRECEDENTI;+
2021;A;035;"TREDICESIMA MENSILITA'";+
2021;A;015;STIPENDIO;+
2021;A;031;R.I.A.;+
2021;A;070;RECUPERI PER RITARDI ASSENZE ECC.;-
2021;A;032;PROGRESSIONE PER CLASSI E SCATTI/FASCE RETRIBUTIVE;+
2021;A;020;I.I.S.;+
2021;I;223;RETRIBUZIONE AGGIUNTIVA PER SEDI CONVENZIONATE;+
2021;S;740;DIRITTI DI ROGITO E IND.SCAVALCO;+
2021;I;207;RETRIBUZIONE DI POSIZIONE;+
2021;I;212;RETRIBUZIONE DI RISULTATO;+
2021;I;422;IND. DI VACANZA CONTRATTUALE;+
2021;S;998;ARRETRATI ANNI PRECEDENTI;+
2021;S;999;"ALTRE SPESE ACCESSORIE ED INDENNITA' VARIE";+
2021;S;630;"COMPENSI PRODUTTIVITA'";+
2021;S;710;COMPENSO AGGIUNTIVO AL SEGR. COMUNALE QUALE DIR. GENERALE;+
2021;S;770;ELEMENTO PEREQUATIVO;+
2021;I;418;ASSEGNO AD PERSONAM;+
2021;T;101;STRAORDINARIO;+
2021;I;222;INDENNITA DI COMPARTO;+
2021;S;615;"INDENNITA' PER SPECIFICHE RESPONSABILITA'";+
2021;S;720;INCENTIVI PER FUNZIONI TECNICHE;+
2021;S;604;COMPENSI ONERI RISCHI E DISAGI;+
2021;S;190;"INDENNITA' DI STAFF/COLLABORAZIONE";+
2021;S;761;"COMPETENZE PERSONALE COMANDATO/DISTACCATO PRESSO L'AMM.NE";+
2021;I;125;IND. DI VIGILANZA;+
2021;S;750;ONORARI AVVOCATI;+
2021;I;424;INDENNITÀ ART. 42, COMMA 5-TER, D.LGS. 151/2001;+
2021;S;771;INDENNITÀ DI FUNZIONE;+
2021;I;143;PERSONALE SCOLASTICO;+
2021;I;144;"INDENNITA' DI ENTE";+
2021;I;426;"INDENNITA' PROFESSIONALI";+
2021;S;616;"INDENNITA'  FUNZIONE POSIZIONI ORGANIZZATIVE";+
2021;I;507;RETRIBUZIONE DI POSIZIONE - QUOTA VARIABILE;+
2021;S;670;PROGETTI SPECIALI ( ART.18 L.88/89 );+
2021;I;129;IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI;+
2021;I;224;"INDENNITA' MENSILE";+
2021;S;130;"INDENNITA' DI AMMINISTRAZIONE";+
2021;I;204;"INDENNITA' DI ESCLUSIVITA'";+
2021;I;216;"INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA";+
2021;I;202;IND DIREZ. STRUTT. COMP.;+
2021;S;204;"PRONTA DISPONIBILITA'";+
2021;S;212;ALTRI COMPENSI PER PARTICOLARI CONDIZIONI DI LAVORO;+
2021;I;227;MAGGIORAZIONE RETRIB. DI POSIZIONE DIRETTORE DIPARTIMENTO;+
2021;S;820;COMPENSO PER TURNI DI GUARDIA NOTTURNI DIRIGENTI;+
2021;S;806;"INDENNITA' DI COORDINAMENTO";+
2021;I;533;"INDENNITA' PROFESSIONALE SPECIFICA";+
