ANNO;CODICE_TIPO_CAUSALE;TIPO_CAUSALE;CODICE_CAUSALE;DESCRIZIONE_CAUSALE
2013;C;Cessazione;01 ;"COLLOCAMENTO A RIPOSO PER LIMITI DI ETA'"
2013;C;Cessazione;03 ;DIMISSIONI (CON DIRITTO A PENSIONE)
2013;C;Cessazione;99 ;ALTRE CAUSE
2013;C;Cessazione;25 ;"LICENZIAMENTI DISPOSTI DALL'ENTE"
2013;C;Cessazione;18 ;PASSAGGI AD ALTRE AMMINISTRAZIONI
2013;C;Cessazione;19 ;PASSAGGI AD ALTRE AMMINISTRAZIONI
2013;C;Cessazione;21 ;RISOLUZIONE RAPPORTO LAVORO
2013;C;Cessazione;17 ;PASSAGGI PER ESTERNALIZZAZIONI
2013;A;Assunzione;31 ;PASSAGGI DA ALTRA AMMINISTRAZIONE
2013;A;Assunzione;23 ;NOMINA DA CONCORSO
2013;A;Assunzione;30 ;PASSAGGI DA ALTRA AMMINISTRAZIONE
2013;A;Assunzione;28 ;ASSUNZIONE PER CHIAMATA DIRETTA (L.68/99 Cat. Protette)
2013;A;Assunzione;27 ;STABILIZZATO DA LSU
2013;A;Assunzione;24 ;ALTRE CAUSE
2013;A;Assunzione;35 ;PERSON. ASSUNTO CON PROCEDURE ART. 35, C. 3
2013;A;Assunzione;29 ;ASSUNZIONE PER CHIAMATA NUMERICA (L.68/99 Cat. Protette)
2013;A;Assunzione;40 ;PERSONALE ASSUNTO CON PROCEDURE ART. 4, C. 6, L. 125/13
2013;Z;Assenze;F00;FERIE
2013;Z;Assenze;SC1;SCIOPERO
2013;Z;Assenze;M04;ASSENZE PER MALATTIA RETRIBUITE
2013;Z;Assenze;PR6;ALTRI PERMESSI ED ASSENZE RETRIBUITE
2013;Z;Assenze;PR4;LEGGE 104/92
2013;Z;Assenze;PR5;"ASS.RETRIB.:MATERNITA',CONGEDO PARENT.,MALATTIA FIGLIO"
2013;Z;Assenze;SS2;ALTRE ASSENZE NON RETRIBUITE
2013;Z;Assenze;O10;"CONGEDI RETRIBUITI  AI SENSI DELL'ART.42,C.5, DLGS 151/2001"
2013;Z;Assenze;Z01;FORMAZIONE
