ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2020;RALN;F;FINANZIA;15N;ART 14 CCNL 98-01 - RIS STRAORDINARIO ORDINARIO ANNO 2017;+
2020;RALN;F;FINANZIA;01R;ART 67 C 2 L E CCNL 16-18 -DEC. ALTRO PERS. TRASF.;-
2020;RALN;U;UTILIZZO;00X;RETRIBUZIONE DI RISULTATO PER INCARICHI AD INTERIM;+
2020;UNIV;U;UTILIZZO;06C;ART 86 CCNL 06-09 - PRESTAZIONI LAVORO STRAORDINARIO;+
2020;RALN;U;UTILIZZO;00Q;ALTRE SPECIFICHE DISPOSIZIONI DI LEGGE;+
2020;RALN;U;UTILIZZO;00C;DIFFERENZIALI PROGRESSIONI ECONOMICHE STORICHE;+
2020;RALN;U;UTILIZZO;00J;INDENNITÀ CONDIZIONI DI LAVORO EX ART.70-BIS;+
2020;RALN;F;FINANZIA;00B;ART 67 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2020;RALN;F;FINANZIA;10Y;ART 67 C 2 L A CCNL 16-18 - INCREM 83,20 EURO DAL 31.12.2018;+
2020;RALN;F;FINANZIA;00M;ART 67 C 2 L H CCNL 16-18 - INCREM. DOT ORG E RELAT COPERT;+
2020;EPNE;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;CNEL;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;UNIV;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;RALN;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;ERIC;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;PCMD;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;MNST;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;CPRE;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;REFR;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;RESA;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;SSNA;F;FINANZIA;998;ALTRE RISORSE FISSE CON CARATTERE DI CERTEZZA E STABILITÀ;+
2020;RALN;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;CNEL;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;ASSI;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;CPRE;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;RESI;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;AFAM;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;ERIC;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;MNST;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;REFR;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;PCMD;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;ENAC;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;REVA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;UNIV;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;EPNE;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;SSNA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2020;RALN;F;FINANZIA;00Z;ART 67 C 2 L B CCNL 16-18 - RIDET. INCREM. STIP. CCNL 16-18;+
2020;RALN;F;FINANZIA;00C;ART 67 C 2 L C CCNL 16-18 - RIA E ASS. AD PERS. CESSATO;+
2020;RALN;F;FINANZIA;00U;ART 67 C 3 L D CCNL 16-18-RIA CESS ANNO PREC MENSIL RESIDUE;+
2020;RALN;F;FINANZIA;01U;ARTT 15 C 4, 67 C 1 CCNL 16-18 - RIS. DEST. P.O. 2017;+
2020;RALN;U;UTILIZZO;00D;INDENNITÀ DI COMPARTO - QUOTA CARICO FONDO;+
2020;RALN;U;UTILIZZO;00H;PREMI CORRELATI ALLA PERFORMANCE INDIVIDUALE;+
2020;RALN;U;UTILIZZO;00U;RETRIBUZIONE DI POSIZIONE;+
2020;RALN;U;UTILIZZO;00W;RETRIBUZIONE DI RISULTATO;+
2020;RALN;U;UTILIZZO;05P;STRAORDINARIO ORDINARIO;+
2020;EPNE;F;FINANZIA;00N;ART 113 DLGS 50/2016 - QUOTE INCENTIVI FUNZIONI TECNICHE;+
2020;RALN;F;FINANZIA;00N;ART 113 DLGS 50/2016 - QUOTE INCENTIVI FUNZIONI TECNICHE;+
2020;SSNA;F;FINANZIA;00N;ART 113 DLGS 50/2016 - QUOTE INCENTIVI FUNZIONI TECNICHE;+
2020;REFR;F;FINANZIA;00N;ART 113 DLGS 50/2016 - QUOTE INCENTIVI FUNZIONI TECNICHE;+
2020;UNIV;F;FINANZIA;00N;ART 113 DLGS 50/2016 - QUOTE INCENTIVI FUNZIONI TECNICHE;+
2020;RALN;F;FINANZIA;00X;ART 67 C 3 L F CCNL 16-18 - MESSI NOTIFICATORI;+
2020;RALN;F;FINANZIA;01J;ART 67 C 3 L H CCNL 16-18 - INTEGRAZIONE 1,2% M.S. 1997;+
2020;RALN;F;FINANZIA;01N;ART 68 C 1 CCNL 16-18-RIS FISSE NON UTILIZZATE FONDI PREC.;+
2020;RALN;F;FINANZIA;15Q;ART. 115 DL 18/20 - RIS STRAORD COVID-19 POLIZIA LOCALE;+
2020;RALN;F;FINANZIA;15S;RIS TRATT ACCESSORIO SEGRETARIO COMUNALE E PROVINCIALE;+
2020;RALN;U;UTILIZZO;05Q;STRAORDINARIO ELETTORALE;+
2020;RALN;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2020;REFR;U;UTILIZZO;22I;ART 113 DLGS 50/2016 - INCENTIVI FUNZIONI TECNICHE;+
2020;EPNE;U;UTILIZZO;22I;ART 113 DLGS 50/2016 - INCENTIVI FUNZIONI TECNICHE;+
2020;SSNA;U;UTILIZZO;22I;ART 113 DLGS 50/2016 - INCENTIVI FUNZIONI TECNICHE;+
2020;MNST;U;UTILIZZO;22I;ART 113 DLGS 50/2016 - INCENTIVI FUNZIONI TECNICHE;+
2020;UNIV;U;UTILIZZO;22I;ART 113 DLGS 50/2016 - INCENTIVI FUNZIONI TECNICHE;+
2020;RALN;U;UTILIZZO;22I;ART 113 DLGS 50/2016 - INCENTIVI FUNZIONI TECNICHE;+
2020;RALN;U;UTILIZZO;04C;INCENTIVI RECUPERO EVASIONE IMU E TARI;+
2020;RALN;U;UTILIZZO;00T;PROGRESSIONI ECONOMICHE ORIZZONTALI ANNO DI RIFERIMENTO;+
2020;CNEL;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;MNST;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;RESA;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;RALN;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;UNIV;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;SCLA;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;REFR;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;ENAC;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;CDIP;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2020;RALN;U;UTILIZZO;05U;ART. 41 C. 5 CCNL 98-01 - GALLEGGIAMENTO FUNZ DIRIG O P.O.;+
2020;RALN;F;FINANZIA;400;POSIZIONE E RISULTATO ANNO 1998 (ART.26 C.1 L. A CCNL 98-01);+
2020;RALN;F;FINANZIA;403;INCREMENTI CCNL 98-01 (ART. 26 C. 1 L. D);+
2020;RALN;F;FINANZIA;65G;INCREMENTI CCNL 02-05 (ART. 23. CC. 1,3);+
2020;RALN;F;FINANZIA;66G;INCREMENTI CCNL 04-05 (ART. 4 CC. 1,4);+
2020;RALN;F;FINANZIA;940;INCREMENTI CCNL 06-09 (ART. 16 CC. 1,4);+
2020;RALN;F;FINANZIA;67G;INCREMENTI CCNL 08-09 (ART. 5 CC. 1,4);+
2020;RALN;F;FINANZIA;406;RIA E MAT. EC. PERS. CESS. (ART. 26 C. 1 L. G CCNL 98-01);+
2020;RALN;F;FINANZIA;942;INCR DOT ORG/RIORG STAB SERV (ART26 C3 - P.FISSA CCNL 98-01);+
2020;RALN;F;FINANZIA;408;INTEGRAZIONE 1,2% (ART. 26 C. 2 CCNL 98-01);+
2020;RALN;F;FINANZIA;943;RIORGANIZZ. (ART. 26 C. 3 - PARTE VARIAB. CCNL 98-01);+
2020;AFAM;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;SCLA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;ERIC;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;MNST;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;EPNE;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;PCMD;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;SSNA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;RALN;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;UNIV;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;CPRE;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO ANNO PRECEDENTE;+
2020;RALN;F;FINANZIA;934;DECURTAZIONE FONDO 3.356,97 EURO (ART.1 C.3 L. E CCNL 00-01);-
2020;AFAM;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;CNEL;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;RALN;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;REFR;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;PCMD;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;RESA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;CPRE;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;EPNE;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;UCAM;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;SSNA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;MNST;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;ERIC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;ENAC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;REVA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;UNIV;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2020;CPRE;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;UCAM;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;RESA;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;SSNA;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;RALN;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;ENAC;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;EPNE;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;MNST;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;REVA;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;CDIP;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;ERIC;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;AFAM;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;RESI;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;PCMD;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;UNIV;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;REFR;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;CNEL;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2020;REFR;F;FINANZIA;00Q;ART 92 CC 5-6  DLGS 163/06 - QUOTE PROG.NE AD ESAURIMENTO;+
2020;MNST;F;FINANZIA;00Q;ART 92 CC 5-6  DLGS 163/06 - QUOTE PROG.NE AD ESAURIMENTO;+
