ANNO;CODICE_TIPO_CAUSALE;TIPO_CAUSALE;CODICE_CAUSALE;DESCRIZIONE_CAUSALE
2020;C;Cessazione;01 ;"COLLOCAMENTO A RIPOSO PER LIMITI DI ETA'"
2020;C;Cessazione;03 ;DIMISSIONI (CON DIRITTO A PENSIONE)
2020;C;Cessazione;99 ;ALTRE CAUSE
2020;C;Cessazione;18 ;PASSAGGI AD ALTRE AMMINISTRAZIONI
2020;C;Cessazione;21 ;RISOLUZIONE RAPPORTO LAVORO
2020;C;Cessazione;27 ;VINCITORI ALTRO CONCORSO PUBBLICO
2020;C;Cessazione;25 ;"LICENZIAMENTI DISPOSTI DALL'ENTE"
2020;C;Cessazione;19 ;PASSAGGI AD ALTRE AMMINISTRAZIONI
2020;C;Cessazione;17 ;PASSAGGI PER ESTERNALIZZAZIONI
2020;A;Assunzione;23 ;NOMINA DA CONCORSO
2020;A;Assunzione;41 ;PERSONALE STABILIZZATO EX ART.20 D.LGS. 75/2017
2020;A;Assunzione;30 ;PASSAGGI DA ALTRA AMMINISTRAZIONE
2020;A;Assunzione;24 ;ALTRE CAUSE
2020;A;Assunzione;28 ;ASSUNZIONE PER CHIAMATA DIRETTA (L.68/99 Cat. Protette)
2020;A;Assunzione;31 ;PASSAGGI DA ALTRA AMMINISTRAZIONE
2020;A;Assunzione;27 ;STABILIZZATO DA LSU
2020;A;Assunzione;35 ;PERSONALE STABILIZZATO EX ART. 35, C. 3
2020;A;Assunzione;29 ;ASSUNZIONE PER CHIAMATA NUMERICA (L.68/99 Cat. Protette)
2020;Z;Assenze;PR4;LEGGE 104/92
2020;Z;Assenze;PR6;ALTRI PERMESSI ED ASSENZE RETRIBUITE
2020;Z;Assenze;F00;FERIE
2020;Z;Assenze;M04;ASSENZE PER MALATTIA RETRIBUITE
2020;Z;Assenze;PR5;"ASS.RETRIB.:MATERNITA',CONGEDO PARENT.,MALATTIA FIGLIO"
2020;Z;Assenze;O10;"CONGEDI RETRIBUITI  AI SENSI DELL'ART.42,C.5, DLGS 151/2001"
2020;Z;Assenze;SS2;ALTRE ASSENZE NON RETRIBUITE
2020;Z;Assenze;PR7;CONGEDI PARENTALI COVID
2020;Z;Assenze;SC1;SCIOPERO
2020;Z;Assenze;Z01;FORMAZIONE
