ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2022;RALN;F;FINANZIA;00B;ART 67 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2022;RALN;F;FINANZIA;10Y;ART 67 C 2 L A CCNL 16-18 - INCREM 83,20 EURO DAL 31.12.2018;+
2022;RALN;F;FINANZIA;20K;ART 79 C 1 L B CCNL 19-21 - INCREM 84,50 EURO DAL 1.1.2021;+
2022;RALN;F;FINANZIA;00M;ART 67 C 2 L H CCNL 16-18 - INCREM. DOT ORG E RELAT COPERT;+
2022;RALN;F;FINANZIA;01U;ARTT 15 C 4, 67 C 1 CCNL 16-18 - RIS. DEST. P.O. 2017;+
2022;RALN;F;FINANZIA;15O;ART 39 CCNL 14.9.00 - RIS STRAORD ELETTORALE;+
2022;SSNA;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2022;MNST;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2022;RALN;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2022;EPNE;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2022;UCAM;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2022;RALN;U;UTILIZZO;00D;INDENNITÀ DI COMPARTO - QUOTA CARICO FONDO;+
2022;RALN;U;UTILIZZO;00H;PREMI CORRELATI ALLA PERFORMANCE INDIVIDUALE;+
2022;RALN;U;UTILIZZO;00J;INDENNITÀ CONDIZIONI DI LAVORO EX ART.70-BIS;+
2022;RALN;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
