REGIONE;ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;UOMINI;DONNE
R00072;IR8594;ERIC;7L;016087;0;1
R00072;IR8594;ERIC;7L;016396;0;1
R00072;IR8594;ERIC;5L;013087;1;1
R00072;IR8594;ERIC;6L;014087;0;1
R00072;IR8594;ERIC;4L;012091;0;1
R00072;IR8594;ERIC;D2;0D0080;1;0
R00161;IR8594;ERIC;7L;016396;0;1
R00161;ER9837;RALN;CD;0D1000;3;3
R00161;ER9837;RALN;DI;0D0165;1;0
R00161;ER9837;RALN;CC;045000;0;2
R00161;ER9837;RALN;CD;050000;2;3
R00161;ER9837;RALN;CC;042000;1;2
R00161;ER9837;RALN;CC;046000;0;2
R00161;ER9837;RALN;CD;049000;3;5
R00161;ER9837;RALN;CB;034000;0;1
R00161;ER9837;RALN;CD;0D4000;0;1
R00161;ER9837;RALN;DI;0D0164;4;1
R00161;ER9837;RALN;CD;0D5000;0;1
R00161;ER9837;RALN;CB;0B7000;1;0
R00205;E8514;EPNE;AC;042000;0;1
R00205;E8514;EPNE;AC;043000;0;1
R00205;E8514;EPNE;AC;045000;0;1
R00090;E8432;EPNE;AB;034000;0;2
R00090;E8432;EPNE;AC;043000;0;1
R00090;E8432;EPNE;AC;045000;1;0
R00090;E8432;EPNE;AC;042000;1;2
R00090;E8432;EPNE;AB;032000;1;2
R00134;E8449;EPNE;AC;040000;2;0
R00090;E8464;EPNE;AC;046000;1;0
R00090;E8464;EPNE;AB;034000;1;0
R00161;E8535;EPNE;AC;046000;16;39
R00134;E8535;EPNE;AC;042000;5;7
R00072;E8535;EPNE;D2;0D0079;20;23
R00107;E8535;EPNE;AC;042000;0;4
R00205;E8535;EPNE;AC;042000;1;2
R00045;E8535;EPNE;AC;040000;1;3
R00152;E8535;EPNE;AB;032000;5;1
R00090;E8535;EPNE;AC;045000;26;79
R00045;E8535;EPNE;D2;0D0079;1;0
R00152;E8535;EPNE;AB;034000;27;17
R00054;E8535;EPNE;D1;0D0077;0;1
R00072;E8535;EPNE;AB;030000;0;3
R00081;E8535;EPNE;AC;045000;5;19
R00198;E8535;EPNE;AC;045000;0;2
R00045;E8535;EPNE;AB;030000;2;0
R00198;E8535;EPNE;AB;034000;2;2
R00054;E8535;EPNE;D2;0D0079;1;0
R00107;E8535;EPNE;AC;046000;8;8
R00072;E8535;EPNE;AC;045000;52;147
R00125;E8535;EPNE;D2;0D0080;0;1
R00134;E8535;EPNE;AC;043000;3;1
R00072;E8535;EPNE;DG;0D0097;1;0
R00161;E8535;EPNE;AB;030000;1;0
R00027;E8535;EPNE;AB;034000;5;1
R00090;E8535;EPNE;AB;034000;35;31
R00223;E8535;EPNE;AC;046000;0;5
R00223;E8535;EPNE;AB;034000;0;2
R00090;E8535;EPNE;AB;030000;1;0
R00134;E8535;EPNE;AB;034000;18;10
R00152;E8535;EPNE;AC;046000;16;26
R00107;E8535;EPNE;AC;045000;6;16
R00125;E8535;EPNE;AB;034000;16;28
R00000;E8535;EPNE;D1;0D0078;1;0
R00081;E8535;EPNE;AC;046000;11;12
R00161;E8535;EPNE;AC;043000;1;1
R00152;E8535;EPNE;AC;045000;10;30
R00134;E8535;EPNE;AC;045000;14;24
R00072;E8535;EPNE;AA;027000;0;1
R00205;E8535;EPNE;AC;045000;7;29
R00036;E8535;EPNE;AC;045000;16;15
R00036;E8535;EPNE;AC;046000;8;13
R00205;E8535;EPNE;AA;027000;0;1
R00036;E8535;EPNE;AB;030000;1;0
R00045;E8535;EPNE;AB;032000;6;0
R00152;E8535;EPNE;AC;043000;1;2
R00054;E8535;EPNE;AB;030000;2;2
R00143;E8535;EPNE;AC;042000;0;2
R00161;E8535;EPNE;AC;045000;12;55
R00027;E8535;EPNE;AC;040000;0;1
R00036;E8535;EPNE;AB;032000;1;1
R00018;E8535;EPNE;AC;045000;2;5
R00090;E8535;EPNE;D1;0D0077;1;0
R00081;E8535;EPNE;D2;0D0079;0;1
R00063;E8535;EPNE;AB;032000;1;0
R00214;E8535;EPNE;AB;034000;4;2
R00072;E8535;EPNE;AC;046000;89;158
R00205;E8535;EPNE;AB;032000;3;0
R00090;E8535;EPNE;D2;0D0079;3;1
R00054;E8535;EPNE;AC;040000;2;0
R00125;E8535;EPNE;AB;032000;1;1
R00107;E8535;EPNE;AB;034000;3;6
R00090;E8535;EPNE;AC;046000;35;61
R00189;E8535;EPNE;AC;046000;0;9
R00072;E8535;EPNE;AA;025000;1;0
R00125;E8535;EPNE;AA;027000;1;0
R00090;E8535;EPNE;AB;032000;3;2
R00143;E8535;EPNE;AB;034000;5;13
R00161;E8535;EPNE;AB;032000;1;0
R00198;E8535;EPNE;AC;046000;1;0
R00125;E8535;EPNE;D2;0D0079;0;1
R00072;E8535;EPNE;AC;043000;2;6
R00116;E8535;EPNE;AC;042000;0;5
R00152;E8535;EPNE;AA;027000;1;1
R00063;E8535;EPNE;AB;034000;6;7
R00143;E8535;EPNE;AC;046000;7;6
R00072;E8535;EPNE;D1;0D0077;7;2
R00063;E8535;EPNE;AB;030000;0;1
R00189;E8535;EPNE;D2;0D0079;1;0
R00072;E8535;EPNE;AP;0D0473;1;0
R00072;E8535;EPNE;AP;0D0481;5;3
R00045;E8535;EPNE;AC;046000;18;29
R00054;E8535;EPNE;AB;034000;11;29
R00090;E8535;EPNE;AC;040000;1;2
R00018;E8535;EPNE;AB;032000;0;1
R00090;E8535;EPNE;AC;043000;3;9
R00054;E8535;EPNE;AC;042000;1;12
R00189;E8535;EPNE;AB;034000;0;8
