ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE
D8309;EN60;ND;LI;1;0;0;0;0;0
C6484;RALN;ND;CA;0;0;0;0;1;0
C6484;RALN;ND;CC;0;0;5;0;5;2
C6484;RALN;ND;CB;0;0;0;0;7;0
LS12282;LS13;NF;LI;12;8;0;0;5;0
C7417;RALN;ND;CB;0;0;2;0;2;1
C7417;RALN;ND;CC;0;0;1;1;1;0
N8724;REVA;SC;CB;0;0;0;19;0;0
C5694;RALN;ND;CB;0;0;0;0;15;0
C5694;RALN;ND;CD;0;0;1;1;0;0
C5694;RALN;ND;CC;0;0;4;5;0;0
C5318;RALN;ND;CC;0;0;2;2;0;0
C6904;RALN;ND;CB;0;0;8;0;8;0
C6904;RALN;ND;CC;0;0;22;12;22;12
C6904;RALN;ND;CA;0;0;2;0;2;0
C6904;RALN;ND;CD;0;0;2;0;2;0
J8629;SSNA;ME;MD;0;0;26;27;33;43
J8629;SSNA;ME;LA;0;0;0;4;0;0
J8629;SSNA;ME;SI;0;0;14;150;4;64
J8629;SSNA;ME;ST;0;0;4;1;5;4
J8629;SSNA;ME;SF;0;0;2;1;0;0
J8629;SSNA;ME;LT;0;0;13;55;0;0
C6261;REFR;SC;CB;0;0;0;0;5;0
C6261;REFR;SC;XA;0;0;4;4;4;4
C3819;RALN;ND;CA;0;0;14;0;6;0
C3819;RALN;ND;CD;0;0;1;0;0;0
C3819;RALN;ND;CB;0;0;2;0;5;0
C3819;RALN;ND;CC;0;0;20;4;27;4
C7839;RALN;ND;CB;0;0;1;9;0;0
C7839;RALN;ND;CA;0;0;0;1;0;0
C7839;RALN;ND;CC;0;0;4;3;0;0
C7839;RALN;ND;CD;0;0;0;1;0;0
D8372;EN60;ND;LI;1;0;0;0;14;3
C3621;RALN;ND;CB;0;0;0;0;1;0
C3621;RALN;ND;CC;0;0;4;1;1;0
C3665;RALN;ND;CB;0;0;6;2;14;0
C3665;RALN;ND;CC;0;0;17;7;4;4
C3665;RALN;ND;CD;0;0;2;4;7;0
C7190;RALN;ND;CC;0;0;0;0;1;0
C7190;RALN;ND;CD;0;0;0;0;0;1
U12262;SSNA;ME;SI;0;0;86;525;0;0
U12262;SSNA;ME;ST;0;0;13;15;0;0
U12262;SSNA;ME;LA;0;0;1;3;0;0
U12262;SSNA;ME;MD;0;0;29;53;0;0
U12262;SSNA;ME;LT;0;0;73;282;0;0
U12259;SSNA;ME;SI;0;0;247;554;115;170
U12259;SSNA;ME;LT;0;0;183;354;45;19
U12259;SSNA;ME;MO;0;0;0;0;2;1
U12259;SSNA;ME;LA;0;0;1;9;0;0
U12259;SSNA;ME;MD;0;0;120;133;137;123
U12259;SSNA;ME;SF;0;0;3;7;0;0
U12259;SSNA;ME;MV;0;0;0;0;1;3
U12259;SSNA;ME;DP;0;0;0;0;0;1
U12259;SSNA;ME;DS;0;0;0;0;1;15
U12259;SSNA;ME;SV;0;0;1;1;10;8
