ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
C2397;RALN;CC;0C1000;Z01;0;7;0;0
C3214;RALN;CC;045000;Z01;0;1;0;0
C3214;RALN;CD;0D4000;Z01;0;2;0;0
C3214;RALN;CC;042000;Z01;4;11;0;0
C3214;RALN;CA;025000;Z01;4;7;0;0
C3214;RALN;CD;049000;Z01;0;6;0;0
C3214;RALN;CB;032000;Z01;2;2;0;0
C2119;RALN;CB;032000;Z01;2;2;0;0
C2119;RALN;CD;0D4000;Z01;7;11;0;0
C2119;RALN;CB;036494;Z01;4;0;0;0
C2119;RALN;CD;050000;Z01;0;8;0;0
C2119;RALN;CC;045000;Z01;1;0;0;0
C2119;RALN;CC;042000;Z01;3;1;0,6;0,2
C3842;RALN;FP;0D0102;Z01;0;5;0;0
C6464;RALN;CD;049000;Z01;0;2;0;0
C920;RALN;CC;042000;Z01;0;3;0;0
C920;RALN;CC;045000;Z01;0;2;0;0
C920;RALN;CD;0D4000;Z01;0;4;0;0
C920;RALN;CD;050000;Z01;0;5;0;0
C920;RALN;CB;034000;Z01;0;1;0;0
C5505;RALN;CC;045000;Z01;0;5;0;0
C5505;RALN;CD;0D5000;Z01;0;4;0;0
C5505;RALN;CC;042000;Z01;1;0;0;0
C5505;RALN;CC;046000;Z01;6;3;0;0
C5505;RALN;CC;043000;Z01;0;1;0;0
C5505;RALN;CD;050000;Z01;5;2;0;0
C5505;RALN;CC;0C1000;Z01;0;1;0;0
C7889;RALN;CD;0D5000;Z01;0;2;0;0
C7889;RALN;CB;038490;Z01;1;0;0;0
C7889;RALN;CD;050000;Z01;0;1;0;0
C7889;RALN;CC;0C1000;Z01;0;1;0;0
C7889;RALN;CD;049000;Z01;0;8;0;0
C7889;RALN;CC;042000;Z01;0;7;0;0
C7889;RALN;CD;0D1000;Z01;0;2;0;0
C7889;RALN;CC;046000;Z01;0;5;0;1,25
C7889;RALN;CB;037492;Z01;0;1;0;0
IR8540;ERIC;D2;0D0079;Z01;0;1;0;0
IR8540;ERIC;6L;014088;Z01;21;2;5,25;0,5
IR8540;ERIC;4L;012091;Z01;3;14;0;0
IR8540;ERIC;7L;016087;Z01;0;1;0;0
IR8540;ERIC;TC;0D0094;Z01;2;0;0;0
IR8540;ERIC;5L;013088;Z01;11;0;0;0
IR8540;ERIC;TC;0D0398;Z01;0;6;0;0
IR8540;ERIC;RI;0D0093;Z01;6;28;0;0
IR8540;ERIC;5L;013091;Z01;0;6;0;0
IR8540;ERIC;4L;012088;Z01;10;3;0;0
IR8540;ERIC;7L;016396;Z01;0;3;0;0
IR8540;ERIC;6L;014087;Z01;0;8;0;0
IR8540;ERIC;5L;013087;Z01;0;11;0;0
IR8540;ERIC;RI;0D0397;Z01;8;9;0;0
IR8540;ERIC;7L;016092;Z01;0;1;0;0
C7963;RALN;CB;032000;Z01;0;5;0;0
C5630;RALN;CD;050000;Z01;0;2;0;0
C5630;RALN;CC;045000;Z01;0;6;0;0
C5630;RALN;CD;049000;Z01;5;0;5;0
C5630;RALN;CC;0C1000;Z01;0;1;0;0
C5630;RALN;CD;0D1000;Z01;4;0;0;0
P9069;RALN;CC;0C1000;Z01;0;2;0;0
P9069;RALN;CB;0B7000;Z01;0;1;0;0
P9069;RALN;CD;0D1000;Z01;2;4;0,66666666666667;1,3333333333333
P9069;RALN;CD;0D5000;Z01;0;38;0;0
P9069;RALN;CC;097000;Z01;0;4;0;0
P9069;RALN;CD;0D4000;Z01;5;0;0;0
P9069;RALN;CC;042000;Z01;0;5;0;1
P9069;RALN;CB;0B8000;Z01;0;2;0;0
P9069;RALN;CC;046000;Z01;1;5;0;0
P9069;RALN;CC;043000;Z01;0;1;0;0
P9069;RALN;CD;099000;Z01;9;0;0;0
P9069;RALN;CD;0D7000;Z01;5;0;0;0
P9069;RALN;CB;038491;Z01;0;4;0;0
P9069;RALN;CD;049000;Z01;0;3;0;0
P9069;RALN;CD;050000;Z01;0;24;0;0
AP203;SSNA;DT;TD0A67;Z01;0;1;0;0
AP203;SSNA;LT;T18868;Z01;1;0;0;0
AP203;SSNA;LA;A16028;Z01;0;2;0;0
UC12528;REFR;CC;040000;Z01;0;3;0;1,5
PA10296;RALN;CC;045000;Z01;5;0;0;0
PA10296;RALN;CC;043000;Z01;0;20;0;0
C3950;RALN;CB;034000;Z01;1;0;0;0
IP10411;SSNA;LA;A14005;Z01;31;12;10,333333333333;4
IP10411;SSNA;SI;S16020;Z01;0;3;0;0
IP10411;SSNA;LA;A18869;Z01;7;5;7;5
IP10411;SSNA;DG;0D0097;Z01;1;0;0;0
IP10411;SSNA;LA;A13870;Z01;6;10;2;3,3333333333333
IP10411;SSNA;SF;S16019;Z01;4;3;0;0
IP10411;SSNA;LA;A12017;Z01;8;7;0;0
IP10411;SSNA;LA;A16028;Z01;5;15;0;0
IP10411;SSNA;LT;T12057;Z01;5;0;0;0
IP10411;SSNA;LT;T13660;Z01;0;7;0;0
C7631;RALN;CD;050000;Z01;19;59;0;0
C7631;RALN;CD;049000;Z01;43;11;0;0
C7631;RALN;CB;032000;Z01;7;7;0;0
C7631;RALN;CB;037492;Z01;11;3;0;0
C7631;RALN;CD;099000;Z01;23;39;0;0
C7631;RALN;CD;0D5000;Z01;54;40;5,4;4
C7631;RALN;CB;036494;Z01;6;6;0;0
C7631;RALN;CB;054000;Z01;7;5;0;0
C7631;RALN;CD;0D1000;Z01;33;67;1,7368421052632;3,5263157894737
C7631;RALN;CC;042000;Z01;43;50;1,7916666666667;2,0833333333333
C7631;RALN;CC;046000;Z01;27;51;0;0
C7631;RALN;CB;037493;Z01;12;3;0;0
C7631;RALN;DI;0D0165;Z01;10;11;0;0
C7631;RALN;CA;0A5000;Z01;5;6;0;0
C7631;RALN;CC;043000;Z01;78;34;0;0
C7631;RALN;CB;055000;Z01;7;5;0;0
C7631;RALN;DI;0D0164;Z01;11;5;11;5
C7631;RALN;CD;0D4000;Z01;42;38;3,5;3,1666666666667
C7631;RALN;CB;034000;Z01;11;5;0;0
C7631;RALN;CB;038491;Z01;6;2;0;0
C7631;RALN;CB;0B7A00;Z01;10;11;0;0
C7631;RALN;CB;038490;Z01;15;12;0;0
C7631;RALN;CB;036495;Z01;7;3;0;0
C7631;RALN;CC;045000;Z01;59;44;2,2692307692308;1,6923076923077
C7631;RALN;CC;097000;Z01;0;1;0;0
C7631;RALN;CC;0C1000;Z01;71;68;2,448275862069;2,3448275862069
C7631;RALN;RP;000096;Z01;0;1;0;0
C7631;RALN;CA;028000;Z01;5;1;0;0
Q9173;UNIV;CE;061000;Z01;0;4;0;0
Q9173;UNIV;CD;049000;Z01;94;138;1,175;1,725
Q9173;UNIV;CC;042000;Z01;27;172;0,28125;1,7916666666667
Q9173;UNIV;CE;062000;Z01;9;0;0;0
Q9173;UNIV;CC;097000;Z01;5;2;0;0
Q9173;UNIV;CC;045000;Z01;36;25;0;0
Q9173;UNIV;CD;0D6000;Z01;1;0;0;0
Q9173;UNIV;CB;038000;Z01;0;5;0;0
Q9173;UNIV;CE;059000;Z01;134;78;0;0
Q9173;UNIV;CC;046000;Z01;17;54;0,58620689655172;1,8620689655172
Q9173;UNIV;CE;060000;Z01;4;7;0;0
Q9173;UNIV;CC;0C7000;Z01;3;14;0;0
Q9173;UNIV;CC;043000;Z01;17;81;0,3695652173913;1,7608695652174
Q9173;UNIV;CD;051000;Z01;15;14;0;0
Q9173;UNIV;CD;050000;Z01;31;91;0,81578947368421;2,3947368421053
Q9173;UNIV;CB;034000;Z01;0;15;0;0
Q9173;UNIV;CD;052000;Z01;9;3;0;0
Q9173;UNIV;CD;048000;Z01;231;323;1,763358778626;2,4656488549618
Q9173;UNIV;CB;037000;Z01;2;10;0;0
Q9173;UNIV;CB;036000;Z01;4;6;0;0
Q9173;UNIV;D2;0D0079;Z01;1;2;0;0
Q9173;UNIV;CC;040000;Z01;133;338;0;0
C4698;RALN;CC;043000;Z01;2;0;0;0
C4698;RALN;CC;0C1000;Z01;2;0;0;0
C4698;RALN;FP;0D0103;Z01;0;1;0;0
C4698;RALN;CD;0D1000;Z01;1;0;0;0
C4698;RALN;CD;099000;Z01;6;0;0;0
C4698;RALN;CB;0B7A00;Z01;2;0;0;0
C4698;RALN;CD;049000;Z01;0;2;0;2
C4698;RALN;CC;042000;Z01;1;0;0;0
C3857;RALN;CB;038491;Z01;0;1;0;0
C3857;RALN;CC;042000;Z01;2;19;0,022222222222222;0,21111111111111
C3857;RALN;CB;0B7000;Z01;1;2;0;0
C3857;RALN;CD;099000;Z01;2;2;0,13333333333333;0,13333333333333
C3857;RALN;CC;046000;Z01;0;3;0;0
C3857;RALN;CC;043000;Z01;1;5;0,027027027027027;0,13513513513514
C3857;RALN;CD;049000;Z01;0;11;0;0,30555555555556
C3857;RALN;CB;032000;Z01;1;1;0;0
C3857;RALN;CC;045000;Z01;1;4;0;0
C3857;RALN;CC;0C1000;Z01;1;11;0,013698630136986;0,15068493150685
C3857;RALN;CD;0D5000;Z01;2;1;0,10526315789474;0,052631578947368
C3857;RALN;CD;0D4000;Z01;0;4;0;0,12903225806452
C3857;RALN;CD;050000;Z01;0;7;0;0,15555555555556
C3857;RALN;CD;0D1000;Z01;1;0;0,083333333333333;0
C5079;RALN;CD;0D5000;Z01;1;2;0;0
C5079;RALN;CD;050000;Z01;2;0;0;0
C5079;RALN;CC;043000;Z01;0;2;0;0
C5079;RALN;CD;099000;Z01;0;3;0;0
C5079;RALN;CD;049000;Z01;0;5;0;0
C5926;RALN;CD;050000;Z01;0;3;0;0
C5926;RALN;CD;0D4000;Z01;3;1;0;0
C5926;RALN;CC;045000;Z01;6;6;0;0
C5926;RALN;CB;0B7A00;Z01;0;3;0;0
C5926;RALN;CC;046000;Z01;1;5;0;0
C5926;RALN;CC;043000;Z01;1;0;0;0
C5926;RALN;CD;099000;Z01;3;0;0;0
C3521;RALN;CB;038490;Z01;2;0;0;0
C3521;RALN;CB;036495;Z01;1;14;0;0
C3521;RALN;CD;0D4000;Z01;7;5;0;0
C3521;RALN;CB;034000;Z01;3;0;0;0
C3521;RALN;CC;042000;Z01;7;3;0;0
