ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
AU12238;AUIN;DI;0D00NF;A23;1;1
AU11852;AUIN;DI;0D00NF;A24;2;0
AU11852;AUIN;LI;0000ND;A28;0;1
AU11852;AUIN;LI;0000ND;A24;4;1
AU12308;AUIN;LI;0000ND;A24;0;1
AU10079;AUIN;LI;0000ND;A23;1;0
AU11878;AUIN;LI;0000ND;A23;9;10
AU12308;AUIN;LI;0000ND;A23;5;8
AU11878;AUIN;LI;0000ND;A41;1;0
AU11852;AUIN;LI;0000ND;A23;1;6
AU10045;AUIN;LI;0000ND;A23;7;4
AU11855;AUIN;LI;0000ND;A23;4;0
AU10076;AUIN;LI;0000ND;A24;0;1
AU10076;AUIN;LI;0000ND;A23;1;2
AU11855;AUIN;LI;0000ND;A28;0;1
AU12238;AUIN;LI;0000ND;A23;6;6
C7967;RALN;CD;099000;A24;1;0
C2384;RALN;CD;099000;A30;1;0
C7020;RALN;CD;099000;A30;1;0
C5386;RALN;CD;099000;A24;0;1
C6902;RALN;CD;099000;A30;1;0
R9205;RALN;CD;099000;A30;0;1
UC10187;RALN;CD;099000;A30;0;1
C3592;RALN;CD;099000;A30;0;2
C6890;RALN;CD;099000;A23;1;0
C6241;RALN;CD;099000;A30;2;0
C783;RALN;CD;099000;A24;0;1
C12902;RALN;CD;099000;A30;0;1
R9205;RALN;CD;099000;A24;1;0
PA98;RALN;CD;099000;A30;0;1
C859;RALN;CD;099000;A30;0;2
R9194;RALN;CD;099000;A31;1;0
UC8805;RALN;CD;099000;A30;1;1
C3857;RALN;CD;099000;A30;1;0
R9196;RALN;CD;099000;A31;2;0
C7563;RALN;CD;099000;A30;1;0
R9194;RALN;CD;099000;A30;1;1
C7961;RALN;CD;099000;A24;1;0
UC12423;RALN;CD;099000;A30;0;1
C4974;RALN;CD;099000;A30;1;0
P9072;RALN;CD;099000;A30;0;1
C1523;RALN;CD;099000;A30;1;0
C1787;RALN;CD;099000;A30;0;1
C4598;RALN;CD;099000;A30;0;1
N11084;RALN;CD;099000;A24;1;0
R9196;RALN;CD;099000;A30;3;3
C6876;RALN;CD;099000;A23;1;0
CM9102;RALN;CD;099000;A30;1;0
UC9891;RALN;CD;099000;A30;1;0
C3987;RALN;CD;099000;A30;0;1
C359;RALN;CD;099000;A24;1;0
C7120;RALN;CD;099000;A30;1;0
RA69;RALN;CD;099000;A30;3;1
C2282;RALN;CD;099000;A30;0;1
PA11795;RALN;CD;099000;A24;1;0
CM9036;RALN;CD;099000;A30;0;1
C12241;RALN;CD;099000;A24;1;0
C3784;RALN;CD;099000;A30;0;1
C4194;RALN;CD;099000;A30;0;1
C4963;RALN;CD;099000;A30;1;0
ER11845;RALN;CD;099000;A30;1;0
UC12399;RALN;CD;099000;A30;0;1
C11978;RALN;CD;099000;A30;0;1
C1759;RALN;CD;099000;A30;1;0
C5131;RALN;CD;099000;A30;2;0
P9083;RALN;CD;099000;A30;1;0
P9126;RALN;CD;099000;A31;2;0
C6345;RALN;CD;099000;A24;1;0
ER14011;RALN;CD;099000;A31;1;0
C7509;RALN;CD;099000;A30;1;0
C2020;RALN;CD;099000;A30;0;1
RA68;RALN;CD;099000;A31;1;0
C5208;RALN;CD;099000;A31;1;0
C3572;RALN;CD;099000;A30;0;1
C998;RALN;CD;099000;A24;1;0
C4501;RALN;CD;099000;A30;1;0
ES10847;RALN;CD;099000;A24;0;1
C2890;RALN;CD;099000;A23;1;0
R9813;RALN;CD;099000;A24;4;0
R9197;RALN;CD;099000;A30;0;1
C1310;RALN;CD;099000;A30;0;1
C3422;RALN;CD;099000;A24;1;0
D8361;RALN;CD;099000;A24;1;0
PA100;RALN;CD;099000;A30;0;1
V14257;RALN;CD;099000;A30;0;1
CM12343;RALN;CD;099000;A30;0;2
R9197;RALN;CD;099000;A31;2;0
C6756;RALN;CD;099000;A24;1;0
R9202;RALN;CD;099000;A30;1;0
C943;RALN;CD;099000;A30;1;0
C1264;RALN;CD;099000;A24;0;1
C3866;RALN;CD;099000;A24;1;0
UC10925;RALN;CD;099000;A23;1;0
R9207;RALN;CD;099000;A30;1;0
V14363;RALN;CD;099000;A30;4;4
P9089;RALN;CD;099000;A30;0;1
C226;RALN;CD;099000;A31;1;0
C4094;RALN;CD;099000;A24;1;0
C1894;RALN;CD;099000;A30;0;1
C3820;RALN;CD;099000;A30;0;1
C1326;RALN;CD;099000;A30;0;1
C4818;RALN;CD;099000;A30;0;1
P9093;RALN;CD;099000;A30;0;1
UC11888;RALN;CD;099000;A30;1;0
C2162;RALN;CD;099000;A24;1;0
C2746;RALN;CD;099000;A30;1;0
C4690;RALN;CD;099000;A30;0;1
C7250;RALN;CD;099000;A30;0;1
C3211;RALN;CD;099000;A24;2;0
C2564;RALN;CD;099000;A30;0;1
R9201;RALN;CD;099000;A30;1;1
C1198;RALN;CD;099000;A24;0;1
P9110;RALN;CD;099000;A30;1;1
R9200;RALN;CD;099000;A30;1;0
