ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIENO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
C4628;REFR;FP;0D0103;0;1;0;0;0;0
C4628;REFR;CB;034000;2;0;0;0;0;0
C4628;REFR;CC;097000;0;1;0;0;0;0
C4628;REFR;CD;051000;1;1;0;0;0;0
C4628;REFR;CD;048000;1;1;0;0;0;0
C4628;REFR;CB;0B8000;2;0;0;0;0;0
C4628;REFR;CC;040000;0;2;0;0;0;0
C4628;REFR;CB;0B9000;1;0;0;0;0;0
C4628;REFR;CC;042000;0;1;0;1;0;0
C4628;REFR;CD;050000;0;1;0;0;0;0
C4628;REFR;CB;036000;1;1;0;0;0;0
C4628;REFR;CC;0C7000;1;0;0;0;0;0
C4628;REFR;CC;046000;0;1;0;0;0;0
C4628;REFR;CB;0B7000;0;0;1;0;0;0
C4628;REFR;CC;043000;0;1;0;0;0;0
UC12466;RALN;CC;0C1000;0;0;0;0;0;1
UC12466;RALN;CB;034000;1;0;0;0;0;0
UC12466;RALN;CD;049000;1;2;0;0;0;0
UC12466;RALN;CC;042000;1;2;0;0;0;0
UC12466;RALN;CC;045000;1;0;0;0;0;0
UC12466;RALN;CC;043000;0;1;0;0;0;0
UC12466;RALN;CB;0B8000;0;0;0;0;0;1
UC12466;RALN;CD;0D7000;0;2;0;0;0;0
UC12466;RALN;CB;038490;1;0;0;0;0;0
UC12466;RALN;CC;097000;1;1;0;0;0;0
UC12466;RALN;CD;0D1000;1;0;0;0;0;1
C7007;RALN;CD;099000;1;0;0;0;0;0
C7007;RALN;CC;045000;0;0;0;1;0;0
C1825;RALN;CB;054000;1;0;0;0;0;0
C1825;RALN;CC;046000;1;3;0;0;0;0
C1825;RALN;CB;0B8000;0;4;0;0;0;0
C1825;RALN;CD;050000;1;1;0;0;0;0
C1825;RALN;CD;049000;1;0;0;0;0;0
C1825;RALN;CC;042000;1;0;0;0;0;0
C1825;RALN;CB;037493;0;1;0;0;0;0
C1825;RALN;CB;038491;0;1;0;0;0;0
C1825;RALN;CC;0C1000;3;5;0;0;0;0
C1825;RALN;CC;043000;1;1;0;0;0;0
C1825;RALN;CB;034000;1;1;0;0;0;0
C1825;RALN;CD;0D5000;1;0;0;0;0;0
C1825;RALN;CB;038490;0;0;1;0;0;0
C3133;RALN;CB;037492;0;0;0;0;0;1
C3133;RALN;CC;097000;1;0;0;0;0;1
C3133;RALN;CD;049000;0;0;0;1;0;0
C3133;RALN;CC;0C1000;0;2;0;0;0;0
C3133;RALN;CC;045000;0;0;0;0;0;1
C3133;RALN;CB;038490;1;1;0;0;0;0
C4411;RALN;CB;037493;0;1;0;0;0;0
C380;RALN;CB;055000;0;1;0;0;0;0
C380;RALN;CC;046000;1;1;0;0;0;0
C380;RALN;CC;043000;0;1;0;0;0;0
C380;RALN;CD;0D1000;1;1;0;0;0;0
C380;RALN;CC;045000;0;1;0;0;0;0
C380;RALN;CB;054000;1;1;0;0;0;0
C380;RALN;CC;097000;0;1;0;0;0;1
C380;RALN;CD;0D5000;1;2;0;0;0;0
C380;RALN;CB;0B7A00;0;0;0;0;0;2
C380;RALN;CC;042000;1;0;0;0;0;0
C380;RALN;CC;0C1000;1;3;0;0;0;0
IR10216;ERIC;RI;0D0397;61;53;2;1;0;0
IR10216;ERIC;DG;0D0097;1;0;0;0;0;0
IR10216;ERIC;8L;018396;29;60;2;0;0;1
IR10216;ERIC;RI;0D0093;164;224;1;0;1;5
IR10216;ERIC;D1;0D0077;0;1;0;0;0;0
IR10216;ERIC;PC;000061;2;0;0;0;0;0
IR10216;ERIC;8L;018092;71;37;0;0;1;2
IR10216;ERIC;TC;0D0090;3;11;0;0;0;0
IR10216;ERIC;RI;0D0089;32;22;0;0;0;0
IR10216;ERIC;7L;016396;13;19;1;0;0;4
IR10216;ERIC;7L;016092;80;29;1;0;0;4
IR10216;ERIC;4L;012088;70;30;1;0;0;1
IR10216;ERIC;5L;013087;14;35;0;0;0;1
IR10216;ERIC;D2;0D0080;1;0;0;0;0;0
IR10216;ERIC;DB;0D0IST;11;1;0;0;0;0
IR10216;ERIC;6L;014092;22;18;0;0;0;0
IR10216;ERIC;TC;0D0398;20;22;0;1;0;0
IR10216;ERIC;5L;013088;40;26;1;0;0;1
IR10216;ERIC;5L;013091;5;18;1;0;0;2
IR10216;ERIC;6L;014088;119;100;2;0;0;8
IR10216;ERIC;4L;012091;6;8;0;0;0;0
IR10216;ERIC;TC;0D0094;72;88;3;1;1;1
IR10216;ERIC;6L;014087;9;33;0;0;0;0
IR10216;ERIC;D2;0D0079;1;10;0;0;0;0
IR10216;ERIC;7L;016087;27;89;0;0;0;6
C1136;RALN;CC;097000;0;1;0;0;0;0
ER12585;RESA;CB;032000;420;16;0;0;0;0
ER12585;RESA;CB;036000;1;0;0;0;0;0
ER12585;RESA;CC;042000;16;3;1;0;0;0
ER12585;RESA;CD;049000;4;7;0;0;1;0
