"Istituzione","Contratto","Macrocategoria","Categoria","Tele Lavoro Uomini","Tele Lavoro Donne","Soggetti Turnazione Uomini","Soggetti Turnazione Donne","Soggetti Reperibilità Uomini","Soggeti Reperibilità Donne"
"C226","RALN","ND","CA","0","0","6","0","10","0"
"C250","RALN","ND","CA","0","0","0","0","4","0"
"C258","RALN","ND","CA","0","0","0","0","1","0"
"C305","RALN","ND","CA","0","0","0","0","1","0"
"C322","RALN","ND","CA","0","0","0","1","0","0"
"C335","RALN","ND","CA","0","0","0","0","1","0"
"C344","RALN","ND","CA","0","0","4","0","11","0"
"C350","RALN","ND","CA","0","0","0","0","2","0"
"C349","RALN","ND","CA","0","0","0","0","3","0"
"C359","RALN","ND","CA","0","0","0","0","3","0"
"C388","RALN","ND","CA","0","0","0","0","1","1"
"C416","RALN","ND","CA","0","0","0","0","1","0"
"C430","RALN","ND","CA","0","0","1","0","0","0"
"C449","RALN","ND","CA","0","0","1","0","0","0"
"C476","REVA","ND","CA","0","0","2","11","12","0"
"C481","PRBZ","ND","CA","0","0","0","2","3","0"
"C487","RALN","ND","CA","0","0","0","0","1","0"
"C496","RALN","ND","CA","0","0","0","0","2","0"
"C497","RALN","ND","CA","0","0","2","0","3","0"
"C503","RALN","ND","CA","0","0","0","0","3","0"
"C582","RALN","ND","CA","0","0","0","0","1","0"
"C585","RALN","ND","CA","0","0","0","0","1","0"
"C601","RALN","ND","CA","0","0","2","7","0","0"
"C626","RALN","ND","CA","0","0","0","0","11","0"
"C628","RALN","ND","CA","0","0","4","0","13","0"
"C630","RALN","ND","CA","0","0","6","0","2","0"
"C658","RALN","ND","CA","0","0","16","12","8","0"
"C685","RALN","ND","CA","0","0","0","0","2","0"
"C715","RALN","ND","CA","0","0","0","0","1","0"
"C10363","RALN","ND","CA","0","0","4","1","0","0"
"C792","RALN","ND","CA","0","0","17","0","5","0"
"C826","RALN","ND","CA","0","0","0","0","1","0"
"C834","RALN","ND","CA","0","0","0","0","2","0"
"C849","RALN","ND","CA","0","0","10","1","11","0"
"C859","RALN","ND","CA","0","0","0","1","0","0"
"C893","RALN","ND","CA","0","0","1","0","10","0"
"C910","RALN","ND","CA","0","0","0","0","7","0"
"C924","RALN","ND","CA","0","0","0","0","2","0"
"C960","RALN","ND","CA","0","0","0","3","0","0"
"C963","RALN","ND","CA","0","0","1","1","0","0"
"C970","PRBZ","ND","CA","0","0","13,91","4","0","0"
"C992","RALN","ND","CA","0","0","0","0","1","0"
"C1069","RALN","ND","CA","0","0","0","0","5","0"
"C1070","RALN","ND","CA","0","0","0","1","2","2"
"C1121","PRBZ","ND","CA","0","0","0","0","1","0"
"C1128","RALN","ND","CA","0","0","2","1","1","0"
"C1131","PRBZ","ND","CA","0","0","0","0","1","0"
"C1145","RALN","ND","CA","0","0","3","0","5","0"
"C1164","PRBZ","ND","CA","0","0","0","0","2","0"
"C1177","PRBZ","ND","CA","0","0","4","0","7","0"
"C1181","RALN","ND","CA","0","0","0","0","2","0"
"C1264","RALN","ND","CA","0","0","39","3","7","1"
"C1373","RALN","ND","CA","0","0","0","0","13","0"
"C1390","RALN","ND","CA","0","0","1","1","0","0"
"C1445","PRBZ","ND","CA","0","0","0","0","1","0"
"C1400","RALN","ND","CA","0","0","2","0","2","0"
"C1412","RALN","ND","CA","0","0","0","0","2","0"
"C1470","RALN","ND","CA","0","0","0","0","1","0"
"C1485","RALN","ND","CA","0","0","0","0","6","0"
"C1523","RALN","ND","CA","0","0","0","0","1","0"
"C1545","RALN","ND","CA","1","0","0","0","0","0"
"C1549","RALN","ND","CA","0","0","0","0","1","0"
"C1564","RALN","ND","CA","0","0","0","0","4","0"
"C1591","RALN","ND","CA","0","0","1","0","1","0"
"C1614","RALN","ND","CA","0","0","0","0","1","0"
"C1615","RALN","ND","CA","0","0","2","0","8","0"
"C1635","RALN","ND","CA","0","0","0","0","1","0"
"C1657","RALN","ND","CA","0","0","0","0","2","0"
"C1658","RALN","ND","CA","0","0","0","2","0","0"
"C1701","RALN","ND","CA","0","0","0","0","2","0"
"C1721","RALN","ND","CA","0","0","1","0","4","0"
"C1729","RALN","ND","CA","0","0","0","0","1","0"
"C1735","RALN","ND","CA","0","0","0","0","1","0"
"C1737","RALN","ND","CA","0","0","0","0","4","0"
"C1738","RALN","ND","CA","0","0","0","0","6","0"
"C1755","RALN","ND","CA","0","0","0","0","5","0"
"C1770","RALN","ND","CA","0","0","12","19","0","0"
"C1785","RALN","ND","CA","0","0","0","0","1","0"
"C1799","RALN","ND","CA","0","0","2","2","0","0"
"C2019","RALN","ND","CA","0","0","1","0","6","0"
"C1866","RALN","ND","CA","0","0","0","0","1","0"
"C1872","RALN","ND","CA","0","0","1","0","1","0"
"C1889","RALN","ND","CA","0","0","3","0","1","0"
"C1917","RALN","ND","CA","0","0","1","1","1","0"
"C1933","RALN","ND","CA","0","0","0","0","2","0"
"C1965","RALN","ND","CA","0","0","0","0","4","0"
"C1989","PRBZ","ND","CA","0","0","0","0","3","0"
"C2005","RALN","ND","CA","0","0","0","0","3","0"
"C2024","RALN","ND","CA","0","0","0","0","2","0"
"C2071","RALN","ND","CA","0","0","5","0","0","0"
"C2072","RALN","ND","CA","0","0","23","1","92","5"
"C2073","RALN","ND","CA","0","0","3","0","4","0"
"C2013","RALN","ND","CA","0","0","0","0","4","0"
"C2119","RALN","ND","CA","0","0","2","0","0","0"
"C2125","RALN","ND","CA","0","0","2","1","2","1"
"C2158","RALN","ND","CA","0","0","0","2","0","0"
"C220","PRBZ","ND","CA","0","0","0","0","2","0"
"C2202","RALN","ND","CA","0","0","0","0","1","0"
"C2233","RALN","ND","CA","0","0","0","0","2","0"
"C2235","REFR","ND","CA","0","0","0","2","0","0"
"C2244","RALN","ND","CA","0","0","0","0","2","0"
"C2274","RALN","ND","CA","0","0","0","1","1","0"
"C2277","RALN","ND","CA","0","0","0","0","3","0"
"C2285","RALN","ND","CA","0","0","5","2","0","0"
"C2289","RALN","ND","CA","0","0","0","0","1","0"
"C2294","RALN","ND","CA","0","0","0","0","8","0"
"C2307","PRBZ","ND","CA","0","0","0","0","4","0"
"C8277","RALN","ND","CA","0","0","0","0","1","0"
"C2351","RALN","ND","CA","0","0","0","0","1","0"
"C2378","RALN","ND","CA","0","0","1","0","2","0"
"C2399","RALN","ND","CA","0","0","4","0","0","0"
