ANNO|CODI_TIPO_VOCE_SPESA|CODI_VOCE_SPESA|DESC_VOCE_SPESA|FLAG_SEGNO
2015|A|015|STIPENDIO|+
2015|A|020|I.I.S.|+
2015|A|030|R.I.A./ PROGR. ECONOMICA DI ANZIANITA'|+
2015|A|035|TREDICESIMA MENSILITA'|+
2015|A|120|ARRETRATI ANNO CORRENTE|+
2015|A|045|ARRETRATI PER ANNI PRECEDENTI|+
2015|A|070|RECUPERI PER RITARDI ASSENZE ECC.|-
2015|I|422|IND. DI VACANZA CONTRATTUALE|+
2015|I|110|INDENNITA' DI AMMINISTRAZIONE|+
2015|I|109|INDENNITA' DI PRESIDENZA|+
2015|I|100|ASSEGNO SIPENDIALE INCARICO PROVVISORIO|+
2015|I|101|IND. DI FUNZIONE|+
2015|I|102|IND. DI GABINETTO|+
2015|I|106|INDENNITA' DI ISTITUTO|+
2015|I|125|IND. DI VIGILANZA|+
2015|I|126|INDENNITÀ DI TURNAZIONE|+
2015|I|128|ASSEGNO MAGISTRATI|+
2015|I|129|IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI|+
2015|I|131|COMPENSO ORE ECCEDENTI|+
2015|I|139|IND. DELLA VALORIZZAZIONE PROFESSIONALE|+
2015|I|143|PERSONALE SCOLASTICO|+
2015|I|144|INDENNITA' DI ENTE|+
2015|I|145|INDENNITA' DI RESPONSABILITA'|+
2015|I|146|INDENNITA' DI RISCHIO DA RADIAZIONI|+
2015|I|148|INDENN. PER ONERI SPECIFICI|+
2015|I|155|RETRIB. PROF.LE DOCENTI|+
2015|I|156|INDENNITÀ DI PRONTA REPERIBILITÀ|+
2015|I|160|INDENNITA' DI PROFESSIONALITA'|+
2015|I|202|IND DIREZ. STRUTT. COMP.|+
2015|I|204|INDENNITA' DI ESCLUSIVITA'|+
2015|I|207|RETRIBUZIONE DI POSIZIONE|+
2015|I|209|IND. NOTTURNA E FESTIVA|+
2015|I|210|INDENNITA' MENSILE DI VOLO|+
2015|I|211|INDENNITA' MENSILE OPERATORI SUBACQUEI|+
2015|I|212|RETRIBUZIONE DI RISULTATO|+
2015|I|216|INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA|+
2015|I|222|INDENNITA DI COMPARTO|+
2015|I|224|INDENNITA' MENSILE|+
2015|I|304|INDENNITA' DI ATENEO|+
2015|I|305|INDENNITA' DI POSIZIONE|+
2015|I|307|SUPERMINIMO|+
2015|I|320|MAGGIORAZIONI INDENNITA' DI RISCHIO|+
2015|I|400|INDENNITA' FISSE|+
2015|I|402|IND.SECONDA LINGUA|+
2015|I|418|ASSEGNO AD PERSONAM|+
2015|I|421|INDENNITA' DE MARIA|+
2015|I|426|INDENNITA' PROFESSIONALI|+
2015|I|450|ASSEGNO PERSONALE PENSIONABILE|+
2015|I|507|RETRIBUZIONE DI POSIZIONE - QUOTA VARIABILE|+
2015|I|513|ASSEGNO FUNZIONALE|+
2015|I|514|IND. PENSIONABILE|+
2015|I|515|ASS. FUNZIONALE E OMOGEN. STIP.|+
2015|I|517|IND. PROV. DA PROVV. SPECIFICI|+
2015|I|518|IND. EXTRACONTR. NON FINANZ. CON FUA|+
2015|I|521|IMPORTO AGGIUNTIVO PENSIONABILE|+
2015|I|530|INDENNITA' RETTORALE|+
2015|I|602|ASSEGNO AGGIUNTIVO|+
2015|I|807|SPECIALE TRATTAMENTO ECONOMICO|+
2015|I|836|INDENNITA' OPERATIVE SUPPLEMENTARI|+
2015|I|837|INDENNITA' DI POSIZIONE E PEREQUATIVA|+
2015|I|840|ASSEGNO OMNICOMPRENSIVO|+
2015|L|005|ASSEGNI PER IL NUCLEO FAMILIARE|+
2015|L|010|GESTIONE MENSE |+
2015|L|011|EROGAZIONE BUONI PASTO|+
2015|L|020|FORMAZIONE DEL PERSONALE|+
2015|L|090|BENESSERE DEL PERSONALE|+
2015|L|100|EQUO INDENNIZZO AL PERSONALE|+
2015|L|105|SOMME CORRISPOSTE AD AGENZIA DI SOMMINISTRAZIONE(INTERINALI)|+
2015|L|107|COPERTURE ASSICURATIVE|+
2015|L|108|CONTRATTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA|+
2015|L|110|ALTRE SPESE|+
2015|P|015|RETRIBUZIONI PERSONALE  A TEMPO DETERMINATO|+
2015|P|016|RETRIBUZIONI PERSONALE CON CONTRATTO DI FORMAZIONE E LAVORO|+
2015|P|030|INDENNITA' DI MISSIONE E TRASFERIMENTO|+
2015|P|055|CONTRIBUTI A CARICO DELL'AMM.NE SU COMP. FISSE E ACCESSORIE|+
2015|P|058|QUOTE ANNUE ACCANTONAMENTO TFR O ALTRA IND. FINE SERVIZIO|+
2015|P|061|IRAP|+
2015|P|062|ONERI PER I CONTRATTI DI SOMMINISTRAZIONE(INTERINALI)|+
2015|P|091|ACCANTONAMENTI PER RINNOVI CONTRATTUALI|+
2015|P|092|COMPENSI AGGIUNTIVI PER LA DIRIGENZA MEDICA E VETERINARIA|+
2015|P|093|COMPENSI AGGIUNTIVI PER LA DIRIGENZA DEL RUOLO SANITARIO|+
2015|P|094|COMP.AGGIUNTIVI PERS.INFERM.CO E TECN.SAN.DI RADIOL.MED.|+
