ANNO,CODICE_TIPO_CAUSALE,TIPO_CAUSALE,CODICE_CAUSALE,DESCRIZIONE_CAUSALE
2014,A,Assunzione,23,NOMINA DA CONCORSO
2014,A,Assunzione,24,ALTRE CAUSE
2014,A,Assunzione,27,STABILIZZATO DA LSU
2014,A,Assunzione,28,ASSUNZIONE PER CHIAMATA DIRETTA (L.68/99 Cat. Protette)
2014,A,Assunzione,29,ASSUNZIONE PER CHIAMATA NUMERICA (L.68/99 Cat. Protette)
2014,A,Assunzione,30,PASSAGGI DA ALTRA AMMINISTRAZIONE - STESSO COMPARTO
2014,A,Assunzione,31,PASSAGGI DA ALTRA AMMINISTRAZIONE - ALTRO COMPARTO
2014,A,Assunzione,35,PERSON. ASSUNTO CON PROCEDURE ART. 35, C. 3-BIS, DLGS 165/01
2014,A,Assunzione,40,PERSONALE ASSUNTO CON PROCEDURE ART. 4, C. 6, L. 125/13
2014,C,Cessazione,01,COLLOCAMENTO A RIPOSO PER LIMITI DI ETA'
2014,C,Cessazione,03,DIMISSIONI (CON DIRITTO A PENSIONE)
2014,C,Cessazione,17,PASSAGGI PER ESTERNALIZZAZIONI
2014,C,Cessazione,18,PASSAGGI AD ALTRE AMMINISTRAZIONI - STESSO COMPARTO
2014,C,Cessazione,19,PASSAGGI AD ALTRE AMMINISTRAZIONI - ALTRO COMPARTO
2014,C,Cessazione,21,RISOLUZIONE RAPPORTO LAVORO
2014,C,Cessazione,25,LICENZIAMENTI
2014,C,Cessazione,99,ALTRE CAUSE
2014,Z,Assenze,F00,FERIE
2014,Z,Assenze,M04,ASSENZE PER MALATTIA RETRIBUITE
2014,Z,Assenze,O10,CONGEDI RETRIBUITI  AI SENSI DELL'ART.42,C.5, DLGS 151/2001
2014,Z,Assenze,PR4,LEGGE 104/92
2014,Z,Assenze,PR5,ASS.RETRIB.:MATERNITA',CONGEDO PARENT.,MALATTIA FIGLIO
2014,Z,Assenze,PR6,ALTRI PERMESSI ED ASSENZE RETRIBUITE
2014,Z,Assenze,SC1,SCIOPERO
2014,Z,Assenze,SS2,ALTRE ASSENZE NON RETRIBUITE
2014,Z,Assenze,Z01,FORMAZIONE
