ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C7582;RALN;CD;057000;A24;1;0
C7582;RALN;CD;057000;A30;1;0
C2077;RALN;CD;057000;A30;0;1
C4326;RALN;CD;057000;A31;0;1
C4326;RALN;CD;057000;A23;0;2
C3853;RALN;CD;057000;A23;0;1
C2350;RALN;CD;057000;A23;0;1
C2021;RALN;CD;057000;A23;1;0
C2350;RALN;CD;057000;A30;0;1
C3770;RALN;CD;057000;A23;0;1
C1788;RALN;CD;057000;A30;1;0
C3074;RALN;CD;057000;A30;0;1
C4421;RALN;CD;057000;A23;1;0
N8746;RALN;CD;057000;A23;0;1
C4421;RALN;CD;057000;A30;0;1
C2916;RALN;CD;057000;A30;0;1
C4736;RALN;CD;057000;A30;1;0
C7850;RALN;CD;057000;A30;1;0
CS12612;RALN;CD;057000;A23;0;3
C5949;RALN;CD;057000;A23;0;1
C3038;RALN;CD;057000;A23;1;0
UC12348;RALN;CD;057000;A30;1;0
C1331;RALN;CD;057000;A30;1;0
C6457;RALN;CD;057000;A30;0;1
C7839;RALN;CD;057000;A24;1;0
C5531;RALN;CD;057000;A23;1;0
C4173;RALN;CD;057000;A30;0;1
C7057;RALN;CD;057000;A24;1;0
C3284;RALN;CD;057000;A23;0;1
C7068;RALN;CD;057000;A24;0;2
C3042;RALN;CD;057000;A31;0;1
C7402;RALN;CD;057000;A23;1;0
C306;RALN;CD;057000;A23;0;1
C3831;RALN;CD;057000;A23;1;0
C3042;RALN;CD;057000;A23;3;0
C4904;RALN;CD;057000;A23;1;0
C4518;RALN;CD;057000;A23;1;0
C5525;RALN;CD;057000;A30;0;4
C622;RALN;CD;057000;A23;0;1
C8303;RALN;CD;057000;A30;1;1
C6778;RALN;CD;057000;A23;0;1
C5340;RALN;CD;057000;A30;0;2
C12463;RALN;CD;057000;A30;0;1
C2636;RALN;CD;057000;A30;0;1
C5340;RALN;CD;057000;A23;1;0
C6825;RALN;CD;057000;A30;0;1
C4479;RALN;CD;057000;A23;0;1
C6825;RALN;CD;057000;A24;0;1
C1647;RALN;CD;057000;A23;1;0
C4234;RALN;CD;057000;A30;0;1
C224;RALN;CD;057000;A30;0;1
C2371;RALN;CD;057000;A30;0;1
C3592;RALN;CD;057000;A23;0;1
C816;RALN;CD;057000;A23;1;1
C6125;RALN;CD;057000;A23;1;0
IP12287;RALN;CD;057000;A23;1;16
ER10689;RALN;CD;057000;A24;0;1
C4224;RALN;CD;057000;A30;0;1
C6292;RALN;CD;057000;A23;1;0
C7326;RALN;CD;057000;A30;0;1
C1501;RALN;CD;057000;A30;1;0
C7326;RALN;CD;057000;A23;1;1
C4653;RALN;CD;057000;A23;1;0
C5212;RALN;CD;057000;A27;0;1
C3584;RALN;CD;057000;A23;0;2
C1664;RALN;CD;057000;A30;1;0
D8342;RALN;CD;057000;A23;0;2
C3534;RALN;CD;057000;A24;0;1
C5401;RALN;CD;057000;A23;1;0
C6323;RALN;CD;057000;A30;0;1
C8044;RALN;CD;057000;A23;0;1
C4481;RALN;CD;057000;A24;0;1
C5401;RALN;CD;057000;A30;0;1
C2289;RALN;CD;057000;A23;0;3
C3771;RALN;CD;057000;A30;0;1
C5560;RALN;CD;057000;A23;1;0
C5085;RALN;CD;057000;A23;0;2
C4871;RALN;CD;057000;A30;0;1
C2433;RALN;CD;057000;A23;0;1
C669;RALN;CD;057000;A23;0;1
C4322;RALN;CD;057000;A24;0;1
V12811;RALN;CD;057000;A30;3;1
C4104;RALN;CD;057000;A30;2;1
C1442;RALN;CD;057000;A23;1;0
C12241;RALN;CD;057000;A23;1;1
C2437;RALN;CD;057000;A23;1;0
C2408;RALN;CD;057000;A23;0;1
C4356;RALN;CD;057000;A24;1;0
C5897;RALN;CD;057000;A24;0;13
C6876;RALN;CD;057000;A23;1;1
C6233;RALN;CD;057000;A30;0;1
C5897;RALN;CD;057000;A23;1;8
C2080;RALN;CD;057000;A23;1;4
C7631;RALN;CD;057000;A23;0;1
C3153;RALN;CD;057000;A24;1;0
C4241;RALN;CD;057000;A23;0;1
C492;RALN;CD;057000;A23;1;2
C1799;RALN;CD;057000;A23;1;0
C7108;RALN;CD;057000;A40;0;2
C4241;RALN;CD;057000;A30;0;1
C7631;RALN;CD;057000;A30;1;3
C7140;RALN;CD;057000;A23;2;0
C870;RALN;CD;057000;A23;0;2
UC10240;RALN;CD;057000;A30;1;2
UC10240;RALN;CD;057000;A23;1;0
C2657;RALN;CD;057000;A30;1;0
IP10708;RALN;CD;057000;A23;3;6
C5121;RALN;CD;057000;A30;0;1
C4104;RALN;CD;057000;A23;0;1
C2856;RALN;CD;057000;A23;0;1
C4088;RALN;CD;057000;A23;1;0
C3227;RALN;CD;057000;A23;1;0
C5130;RALN;CD;057000;A23;1;0
C1439;RALN;CD;057000;A30;0;1
C7706;RALN;CD;057000;A23;1;0
C2217;RALN;CD;057000;A30;0;1
UC10794;RALN;CD;057000;A23;0;1
R9190;RALN;CD;057000;A30;1;0
C3333;RALN;CD;057000;A23;6;26
C386;RALN;CD;057000;A24;0;1
ER11845;RALN;CD;057000;A23;1;0
C2217;RALN;CD;057000;A23;1;0
C1194;RALN;CD;057000;A23;0;1
C3973;RALN;CD;057000;A23;0;1
ES10898;RALN;CD;057000;A23;0;1
C2607;RALN;CD;057000;A23;0;1
C7331;RALN;CD;057000;A23;0;1
C2560;RALN;CD;057000;A30;1;0
R9190;RALN;CD;057000;A31;0;1
C6537;RALN;CD;057000;A24;0;1
C4124;RALN;CD;057000;A24;2;0
C388;RALN;CD;057000;A23;0;4
C3384;RALN;CD;057000;A23;2;0
C672;RALN;CD;057000;A23;1;0
C5660;RALN;CD;057000;A23;0;1
C3805;RALN;CD;057000;A23;0;1
C1457;RALN;CD;057000;A23;0;1
UC11813;RALN;CD;057000;A23;1;0
C1586;RALN;CD;057000;A24;1;0
CS10064;RALN;CD;057000;A23;0;2
C6151;RALN;CD;057000;A23;0;1
C4818;RALN;CD;057000;A24;0;1
C7821;RALN;CD;057000;A23;1;0
UC10073;RALN;CD;057000;A30;0;2
C4121;RALN;CD;057000;A23;0;1
R9200;RALN;CD;057000;A30;1;0
UC11864;RALN;CD;057000;A23;1;1
C3203;RALN;CD;057000;A23;0;2
C2975;RALN;CD;057000;A23;2;0
C489;RALN;CD;057000;A23;1;0
C4818;RALN;CD;057000;A30;0;1
C4668;RALN;CD;057000;A30;1;0
C2383;RALN;CD;057000;A23;0;1
C7892;RALN;CD;057000;A30;0;1
C7339;RALN;CD;057000;A23;0;1
C260;RALN;CD;057000;A23;1;0
C742;RALN;CD;057000;A30;0;1
C2383;RALN;CD;057000;A30;1;0
C1264;RALN;CD;057000;A30;0;2
C4608;RALN;CD;057000;A23;0;1
C4780;RALN;CD;057000;A23;1;0
C2242;RALN;CD;057000;A23;0;1
C5626;RALN;CD;057000;A30;1;1
C4887;RALN;CD;057000;A30;1;0
C4881;RALN;CD;057000;A24;0;1
C1530;RALN;CD;057000;A23;0;1
C747;RALN;CD;057000;A23;4;10
C1641;RALN;CD;057000;A30;1;0
C1530;RALN;CD;057000;A30;1;0
C5127;RALN;CD;057000;A30;0;1
C4138;RALN;CD;057000;A23;1;1
C5073;RALN;CD;057000;A23;0;1
CS10265;RALN;CD;057000;A23;0;4
CS12851;RALN;CD;057000;A23;1;0
C5073;RALN;CD;057000;A30;0;1
R9192;RALN;CD;057000;A23;0;1
C4666;RALN;CD;057000;A23;0;1
R9192;RALN;CD;057000;A30;0;1
C1889;RALN;CD;057000;A23;2;2
C4649;RALN;CD;057000;A30;1;0
IP10920;RALN;CD;057000;A30;0;1
C6044;RALN;CD;057000;A24;1;0
C3703;RALN;CD;057000;A23;0;1
C3703;RALN;CD;057000;A30;0;1
C216;RALN;CD;057000;A24;1;0
C4552;RALN;CD;057000;A23;0;1
C7216;RALN;CD;057000;A31;0;1
C5987;RALN;CD;057000;A31;0;1
C1119;RALN;CD;057000;A30;0;1
C6980;RALN;CD;057000;A24;0;1
C1636;RALN;CD;057000;A30;0;1
C1869;RALN;CD;057000;A23;0;1
C5523;RALN;CD;057000;A23;0;1
R9813;RALN;CD;057000;A23;3;5
C859;RALN;CD;057000;A23;0;1
C5523;RALN;CD;057000;A30;0;1
C730;RALN;CD;057000;A29;0;1
C5971;RALN;CD;057000;A23;3;3
C4883;RALN;CD;057000;A23;1;0
C2282;RALN;CD;057000;A23;0;1
UC10492;RALN;CD;057000;A30;1;0
C2298;RALN;CD;057000;A30;1;0
C2297;RALN;CD;057000;A30;1;0
UC10492;RALN;CD;057000;A23;1;3
C1697;RALN;CD;057000;A23;0;1
R9813;RALN;CD;057000;A30;0;3
C10950;RALN;CD;057000;A23;1;0
C6644;RALN;CD;057000;A24;0;1
C5828;RALN;CD;057000;A24;1;0
C2878;RALN;CD;057000;A30;0;1
N11849;RALN;CD;057000;A24;0;2
C1690;RALN;CD;057000;A23;1;0
C2878;RALN;CD;057000;A24;0;1
C5386;RALN;CD;057000;A23;1;0
C4829;RALN;CD;057000;A23;0;1
IP12863;RALN;CD;057000;A23;0;5
C3850;RALN;CD;057000;A23;1;1
C5386;RALN;CD;057000;A30;0;1
C7258;RALN;CD;057000;A23;0;1
C3850;RALN;CD;057000;A30;0;1
C1326;RALN;CD;057000;A30;1;0
IP10579;RALN;CD;057000;A23;0;5
C4669;RALN;CD;057000;A23;0;2
C3879;RALN;CD;057000;A23;0;1
C2541;RALN;CD;057000;A23;1;0
C2231;RALN;CD;057000;A30;0;1
C1824;RALN;CD;057000;A30;1;0
R9813;RALN;CD;057000;A30;0;1
C747;RALN;CD;057000;A30;0;1
R9192;RALN;CD;057000;A31;2;0
C5412;RALN;CD;057000;A23;0;1
C8108;RALN;CD;057000;A23;0;1
C8300;RALN;CD;057000;A31;0;1
C1236;RALN;CD;057000;A30;1;1
P10790;RALN;CD;057000;A24;0;1
C1236;RALN;CD;057000;A23;3;1
C910;RALN;CD;057000;A23;0;2
C5858;RALN;CD;057000;A23;1;1
IP10633;RALN;CD;057000;A23;0;1
C5663;RALN;CD;057000;A23;0;1
C6551;RALN;CD;057000;A23;1;0
C4051;RALN;CD;057000;A24;1;0
C7718;RALN;CD;057000;A23;0;1
C3336;RALN;CD;057000;A23;0;1
C865;RALN;CD;057000;A30;0;1
C4218;RALN;CD;057000;A23;0;1
C12258;RALN;CD;057000;A23;0;1
C6090;RALN;CD;057000;A30;1;0
CS10379;RALN;CD;057000;A23;0;1
CS10065;RALN;CD;057000;A23;0;2
CS9936;RALN;CD;057000;A40;0;1
C5502;RALN;CD;057000;A23;1;1
R9205;RALN;CD;057000;A23;5;4
C7892;RALN;CD;057000;A40;0;1
C4940;RALN;CD;057000;A23;0;1
C4258;RALN;CD;057000;A23;0;1
C7417;RALN;CD;057000;A23;0;1
C6630;RALN;CD;057000;A23;2;0
R9205;RALN;CD;057000;A24;0;2
C1375;RALN;CD;057000;A30;1;0
R9205;RALN;CD;057000;A30;1;1
C222;RALN;CD;057000;A23;1;3
IP10639;RALN;CD;057000;A23;0;1
