ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE
IP10501;SSNA;LT;T12057;1;0;0;0;0;0;0;0;0;0;0;0;0;0
IP10501;SSNA;LT;T12058;0;0;0;0;0;0;0;0;4;1;2;1;6;0
IP10501;SSNA;LT;T13660;0;0;0;0;0;0;0;1;6;1;2;3;0;0
IP10501;SSNA;SI;S16020;0;0;0;0;0;0;0;1;0;0;2;0;3;0
IP10501;SSNA;LA;A14005;0;0;0;0;0;0;0;0;0;0;0;1;0;0
IP10501;SSNA;SI;S18023;0;0;0;0;0;0;0;0;0;0;0;0;1;0
IP10501;SSNA;LA;A18029;0;0;0;0;0;0;1;0;0;0;0;0;0;0
IP10501;SSNA;SI;S14056;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IP12292;SSNA;LT;T13660;3;1;0;0;0;0;0;9;10;9;0;0;0;0
IP12292;SSNA;LA;A16028;0;0;1;0;0;0;0;2;0;0;0;0;0;0
IP12292;SSNA;SF;S16019;1;0;1;0;0;0;0;4;1;4;0;0;0;0
IP12292;SSNA;SI;S16020;3;0;1;0;0;0;0;4;0;4;0;0;0;0
IP12292;SSNA;LA;A14005;0;0;0;0;0;0;0;0;0;0;1;0;0;0
IP12292;SSNA;LT;T11008;0;0;0;0;0;0;0;0;0;1;1;0;0;0
IP12292;SSNA;LT;T13059;0;0;0;0;0;0;0;0;0;1;0;0;0;0
IP12292;SSNA;LT;T14007;0;0;0;0;0;0;0;1;0;0;0;0;0;0
IP12292;SSNA;SI;S18023;0;0;0;0;0;0;0;0;0;1;0;0;0;0
IP12292;SSNA;LT;T12058;0;0;0;0;0;0;0;0;0;3;3;0;0;0
IP12292;SSNA;LT;T12057;1;0;1;0;0;0;0;0;0;0;2;0;0;0
IP12292;SSNA;LA;A13018;0;0;0;0;0;0;0;0;0;4;0;0;0;0
IP12292;SSNA;SF;S14053;0;0;0;0;0;0;0;0;0;1;0;0;0;0
IP12292;SSNA;LT;T16026;1;0;0;0;0;0;0;0;0;0;0;0;0;0
K8647;SSNA;LT;T13059;0;0;0;0;0;5;0;0;0;0;0;0;4;0
K8647;SSNA;LA;A12017;3;1;1;0;0;0;0;13;0;0;0;0;1;0
K8647;SSNA;LA;A16028;1;0;0;0;0;1;0;0;0;3;1;7;2;0
K8647;SSNA;LT;T14007;4;0;0;0;0;0;0;9;0;1;0;0;0;0
K8647;SSNA;ST;S16021;7;0;1;2;1;4;7;34;1;2;6;3;21;20
K8647;SSNA;ST;S18920;0;0;0;0;3;2;0;0;1;0;2;5;4;0
K8647;SSNA;LT;T12057;5;0;0;1;0;1;0;7;0;0;0;0;3;0
