ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE
CS10373;RALN;ND;CC;0;0;2;2;0;0
C834;RALN;ND;CB;0;0;0;0;9;2
C834;RALN;ND;CC;0;0;2;3;6;4
C834;RALN;ND;CD;0;0;3;0;5;0
C834;RALN;ND;CA;0;0;0;0;2;0
C4442;RALN;ND;CB;0;0;2;1;5;1
C4442;RALN;ND;CC;0;0;28;10;34;14
C4442;RALN;ND;CD;0;0;2;1;6;5
Q9139;UNIV;ND;CC;0;0;1;0;9;1
Q9139;UNIV;ND;CD;0;0;0;0;7;0
Q9139;UNIV;ND;CB;0;0;5;0;4;0
C5085;RALN;ND;CC;0;0;5;0;5;0
V12811;RALN;ND;CC;7;48;0;0;0;0
V12811;RALN;ND;CD;6;32;0;0;0;0
V12811;RALN;ND;CB;4;1;1;6;0;0
P9113;RALN;ND;CB;0;0;0;0;39;0
P9113;RALN;ND;CD;0;0;2;0;1;0
P9113;RALN;ND;CA;0;0;0;0;1;0
P9113;RALN;ND;CC;0;0;8;2;9;0
C2433;RALN;ND;CC;0;0;4;0;0;0
C635;PRTN;NF;CB;0;0;0;0;8;0
C5741;RALN;ND;CC;0;1;0;0;0;0
C5741;RALN;ND;CB;0;2;0;0;0;0
C5741;RALN;ND;CD;0;1;0;0;0;0
C5741;RALN;ND;CA;0;1;0;0;0;0
C783;RALN;ND;CC;0;0;0;1;0;0
C7925;RALN;ND;CB;0;0;0;0;2;0
C7925;RALN;ND;CC;0;0;2;0;0;0
C991;RALN;ND;CC;0;0;0;0;1;0
LS11969;LS13;NF;LI;0;0;13;2;3;0
C3289;RALN;ND;CC;0;0;2;2;1;0
C3289;RALN;ND;CB;0;0;0;0;8;0
C3468;RALN;ND;CA;0;0;1;0;0;0
C3468;RALN;ND;CB;0;0;1;0;0;0
C3468;RALN;ND;CC;0;0;11;1;0;0
P9120;RALN;ND;CD;1;0;2;0;7;1
P9120;RALN;ND;CA;0;0;0;0;1;0
P9120;RALN;ND;CC;0;0;10;0;8;3
P9120;RALN;ND;CB;0;0;0;0;7;0
C5311;RALN;ND;CD;0;0;0;0;1;0
IP10704;RALN;ND;CD;0;0;0;1;0;0
IP10704;RALN;ND;CB;0;0;2;11;0;0
UC12305;RALN;ND;CD;0;0;3;1;3;1
UC12305;RALN;ND;CC;0;0;11;4;11;4
C6725;RALN;ND;CC;0;0;17;4;18;5
C6725;RALN;ND;CA;0;0;2;0;0;0
C6725;RALN;ND;CD;0;0;3;1;3;1
C6725;RALN;ND;CB;0;0;0;0;1;0
UC11082;RALN;ND;CC;0;0;0;0;2;0
UC11082;RALN;ND;CD;0;0;0;0;1;0
C1894;RALN;ND;CC;0;0;9;5;0;1
C6501;PRBZ;NF;CB;0;0;0;0;2;0
C6501;PRBZ;NF;CA;0;0;0;0;1;0
C1627;RALN;ND;CB;0;0;0;0;4;0
C1627;RALN;ND;CC;0;0;2;3;3;3
C3119;RALN;ND;CC;0;0;17;18;18;6
C3119;RALN;ND;CD;1;0;3;1;2;0
C3119;RALN;ND;CB;0;0;10;3;6;0
C7563;RALN;ND;CC;0;0;5;2;0;0
C6563;RALN;ND;CC;0;0;0;3;1;0
C6563;RALN;ND;CB;0;0;0;0;1;0
IP10535;RALN;ND;CD;0;0;2;1;0;0
IP10535;RALN;ND;CC;0;0;0;3;0;0
IP10535;SSNA;ME;SI;0;0;7;11;0;0
IP10535;RALN;ND;CB;0;0;20;64;0;0
IP10535;SSNA;ME;MD;0;0;4;2;0;0
IP10535;SSNA;ME;LT;0;0;28;68;0;0
C2601;RALN;ND;CC;0;0;6;5;0;0
C2601;RALN;ND;CD;0;0;2;0;0;0
C2601;RALN;ND;CB;0;0;4;0;0;0
C12759;RALN;ND;CC;0;0;2;2;2;3
C12759;RALN;ND;CB;0;0;2;0;9;0
C12759;RALN;ND;CD;0;0;1;0;2;0
C5187;RALN;ND;CD;0;0;0;0;0;1
C5187;RALN;ND;CA;0;0;0;0;1;0
C5187;RALN;ND;CC;0;0;9;4;9;5
C5187;RALN;ND;CB;0;0;0;0;1;0
C2684;RALN;ND;CB;0;0;0;0;8;0
C2684;RALN;ND;CC;0;0;14;4;10;0
C2684;RALN;ND;CD;0;0;4;0;3;0
C4317;RALN;ND;CC;0;0;0;0;9;2
C4317;RALN;ND;CD;0;0;0;0;1;0
C4317;RALN;ND;CB;0;0;0;0;4;0
C7619;RALN;ND;CC;0;0;0;0;2;0
CM9123;RALN;ND;CC;0;1;17;2;33;2
CM9123;RALN;ND;CB;1;0;2;0;29;2
CM9123;RALN;ND;CD;0;0;2;0;5;0
C8055;RALN;ND;CB;0;0;0;0;4;0
C8055;RALN;ND;CA;0;0;0;0;2;0
C8055;RALN;ND;CC;0;0;6;1;6;4
C2464;RALN;ND;CC;0;0;0;0;1;1
C2464;RALN;ND;CD;0;0;0;0;1;0
C3526;RALN;ND;CC;0;0;4;1;7;1
C3526;RALN;ND;CD;0;0;0;0;1;0
PU10574;SSNA;ME;LT;0;0;68;154;0;0
PU10574;SSNA;ME;MD;0;0;0;0;128;119
PU10574;SSNA;ME;ST;0;0;27;61;15;36
