ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
C1417;RALN;CC;043000;Z01;0;3;0;0
C1417;RALN;CB;055000;Z01;1;0;0;0
C6501;PRBZ;FP;0D0485;Z01;2;0;0;0
C6501;PRBZ;CA;000727;Z01;0;3;0;0
C6501;PRBZ;CB;000723;Z01;2;0;0;0
C6501;PRBZ;CC;000721;Z01;1;10;0;0
C6501;PRBZ;CB;000725;Z01;5;0;0;0
C224;RALN;CD;049000;Z01;0;4;0;0
C224;RALN;CD;050000;Z01;0;2;0;0
C224;RALN;CD;099000;Z01;2;0;0;0
C224;RALN;CC;046000;Z01;1;1;0;0
C224;RALN;CB;0B7A00;Z01;0;1;0;0
C224;RALN;CD;0D5000;Z01;0;1;0;0
C224;RALN;CB;032000;Z01;0;2;0;0
C224;RALN;CC;042000;Z01;0;2;0;0
C224;RALN;CC;097000;Z01;0;3;0;0
C224;RALN;CD;0D1000;Z01;0;1;0;0
CS11115;SSNA;LA;A14005;Z01;0;52;0;0
Q9152;UNIV;CD;0D6000;Z01;14;47;0;0
Q9152;UNIV;CD;052000;Z01;31;137;0;0
Q9152;UNIV;CB;036000;Z01;4;8;0,66666666666667;1,3333333333333
Q9152;UNIV;CB;034000;Z01;3;2;0;0
Q9152;UNIV;CC;045000;Z01;2;26;0;0
Q9152;UNIV;CC;043000;Z01;9;56;0;0
Q9152;UNIV;CB;038000;Z01;2;15;0;0
Q9152;UNIV;CB;037000;Z01;7;29;0;0
Q9152;UNIV;CC;046000;Z01;42;67;0;0
Q9152;UNIV;CD;051000;Z01;4;13;0,30769230769231;1
Q9152;UNIV;CD;0D7000;Z01;20;16;0;0
Q9152;UNIV;AL;000676;Z01;0;4;0;0
Q9152;UNIV;CD;0D8000;Z01;0;3;0;0
Q9152;UNIV;CB;032000;Z01;1;0;0;0
Q9152;UNIV;CE;0E7000;Z01;10;8;0;0
Q9152;UNIV;CE;060000;Z01;50;101;0;0
Q9152;UNIV;CE;059000;Z01;22;58;0;0
Q9152;UNIV;CE;0E6000;Z01;7;21;0;0
Q9152;UNIV;D2;0D0079;Z01;2;1;0,66666666666667;0,33333333333333
Q9152;UNIV;CE;062000;Z01;0;6;0;0
Q9152;UNIV;CE;063000;Z01;2;18;0;0
Q9152;UNIV;CE;061000;Z01;10;42;0;0
Q9152;UNIV;CD;048000;Z01;44;101;0;0
Q9152;UNIV;CC;0C8000;Z01;4;5;0;0
Q9152;UNIV;CC;040000;Z01;36;122;0;0
Q9152;UNIV;CC;0C7000;Z01;11;76;0;0
Q9152;UNIV;CC;097000;Z01;33;90;0;0
