REGIONE;ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;UOMINI;DONNE
R00018;M8664;MNST;2A;035F04;0;1
R00090;M8664;MNST;3A;040F01;2;4
R00072;M8664;MNST;D2;0D0080;9;11
R00054;M8664;MNST;RM;0D0696;8;7
R00205;M8664;CCSS;MR;017237;1;0
R00045;M8664;MNST;3A;040F01;7;4
R00072;M8664;MNST;3A;044F07;1;0
R00018;M8664;CCSS;US;0D0935;1;0
R00107;M8664;MNST;RM;0D0696;3;1
R00090;M8664;MNST;3A;043F04;1;4
R00198;M8664;MNST;2A;035F04;1;0
R00081;M8664;MNST;3A;042F03;1;0
R00107;M8664;MNST;2A;034F03;0;3
R00081;M8664;MNST;3A;041F02;2;5
R00152;M8664;MNST;2A;034F03;22;4
R00134;M8664;MNST;2A;035F04;11;3
R00081;M8664;MNST;2A;035F04;3;10
R00143;M8664;MNST;1A;024F02;2;0
R00223;M8664;MNST;2A;035F04;4;0
R00161;M8664;MNST;2A;032F02;1;1
R00152;M8664;CCSS;US;0D0528;1;0
R00090;M8664;MNST;2A;035F06;1;0
R00161;M8664;MNST;3A;042F03;0;1
R00018;M8664;MNST;2A;034F03;1;1
R00072;M8664;MNST;1A;024F02;3;0
R00072;M8664;MNST;RM;0D0696;103;182
R00036;M8664;MNST;RM;0D0696;8;2
R00134;M8664;MNST;RM;0D0696;7;9
R00081;M8664;MNST;2A;034F03;4;8
R00072;M8664;MNST;D1;0D0077;6;2
R00125;M8664;MNST;2A;035F04;2;2
R00152;M8664;MNST;3A;040F01;2;1
R00198;M8664;MNST;3A;043F04;0;1
R00081;M8664;CCSS;MR;017836;1;0
R00072;M8664;MNST;2A;030F01;4;3
R00081;M8664;MNST;3A;043F04;1;2
R00072;M8664;MNST;D1;0D0078;4;0
R00036;M8664;MNST;3A;040F01;2;4
R00090;M8664;MNST;2A;032F02;2;1
R00107;M8664;MNST;2A;032F02;0;2
R00134;M8664;MNST;3A;041F02;6;1
R00072;M8664;MNST;2A;035F06;2;10
R00036;M8664;MNST;2A;035F04;4;7
R00072;M8664;MNST;D2;0D0079;21;31
R00072;M8664;MNST;3A;043F04;32;84
R00018;M8664;MNST;3A;043F04;1;2
R00045;M8664;MNST;RM;0D0696;13;7
R00072;M8664;MNST;3A;044F06;0;5
R00045;M8664;CCSS;US;0D0935;1;0
R00143;M8664;MNST;2A;034F03;3;11
R00018;M8664;MNST;RM;0D0696;1;3
R00081;M8664;MNST;2A;032F02;2;6
R00090;M8664;MNST;2A;035F05;0;1
R00072;M8664;MNST;3A;040F01;20;62
R00161;M8664;MNST;3A;043F04;0;2
R00161;M8664;CCSS;MR;017237;1;0
R00045;M8664;MNST;2A;035F04;12;8
R00205;M8664;MNST;2A;035F06;1;0
R00036;M8664;MNST;3A;043F04;1;0
R00045;M8664;MNST;3A;043F04;4;10
R00161;M8664;MNST;RM;0D0696;2;9
R00054;M8664;MNST;3A;040F01;4;4
R00072;M8664;MNST;3A;041F02;50;104
R00045;M8664;MNST;3A;044F05;1;3
R00090;M8664;CCSS;MR;017237;4;0
R00161;M8664;MNST;3A;041F02;1;1
R00054;M8664;CCSS;US;0D0525;1;0
R00036;M8664;CCSS;MR;017237;1;0
R00143;M8664;MNST;3A;040F01;1;2
R00090;M8664;CCSS;MR;016224;1;0
R00152;M8664;MNST;RM;0D0696;8;8
R00125;M8664;MNST;3A;041F02;0;1
R00063;M8664;MNST;3A;041F02;0;1
R00081;M8664;MNST;RM;0D0696;7;10
R00063;M8664;MNST;3A;040F01;2;1
R00152;M8664;MNST;2A;035F04;18;16
R00054;M8664;MNST;2A;034F03;5;4
R00134;M8664;MNST;3A;043F04;4;5
R00205;M8664;MNST;3A;044F05;0;1
R00072;M8664;MNST;1A;023F01;1;0
R00072;M8664;MNST;3A;042F03;2;14
R00072;M8664;CCSS;US;0D0528;1;0
R00143;M8664;CCSS;MR;017836;1;0
R00045;M8664;MNST;3A;041F02;7;4
R00143;M8664;MNST;3A;043F04;0;4
R00090;M8664;MNST;2A;034F03;2;3
R00134;M8664;MNST;2A;032F02;7;0
R00072;M8664;CCSS;MR;017237;13;0
R00063;M8664;MNST;2A;032F02;1;0
R00036;M8664;MNST;2A;034F03;5;3
R00205;M8664;MNST;3A;041F02;0;2
R00018;M8664;MNST;3A;044F05;2;0
R00143;M8664;MNST;RM;0D0696;2;5
R00134;M8664;MNST;2A;034F03;9;6
R00198;M8664;CCSS;MR;016224;0;1
R00072;M8664;MNST;3A;044F05;23;42
R00125;M8664;MNST;2A;034F03;1;1
R00054;M8664;MNST;3A;041F02;1;0
R00072;M8664;MNST;2A;032F02;54;39
R00125;M8664;MNST;3A;040F01;1;0
R00090;M8664;CCSS;MR;017964;1;0
R00036;M8664;MNST;2A;032F02;0;1
R00072;M8664;MNST;2A;035F04;52;142
R00090;M8664;MNST;3A;044F07;0;1
R00205;M8664;MNST;2A;034F03;1;2
R00090;M8664;MNST;RM;0D0696;12;6
R00018;M8664;MNST;3A;040F01;0;2
R00063;M8664;MNST;2A;034F03;5;3
R00045;M8664;MNST;2A;034F03;14;3
R00223;M8664;MNST;RM;0D0696;1;0
R00072;M8664;MNST;D1;0D0CDP;1;0
R00143;M8664;MNST;2A;035F04;1;1
R00045;M8664;MNST;2A;032F02;3;0
R00054;M8664;MNST;2A;035F04;0;2
R00134;M8664;CCSS;MR;017237;4;0
R00072;M8664;CCSS;MR;017836;1;0
R00090;M8664;MNST;3A;042F03;0;2
R00063;M8664;MNST;2A;035F04;1;3
R00045;M8664;MNST;1A;024F03;1;0
R00107;M8664;MNST;2A;035F05;1;0
R00107;M8664;MNST;3A;040F01;1;2
R00107;M8664;MNST;2A;035F04;1;1
R00214;M8664;CCSS;MR;017836;1;0
R00152;M8664;MNST;3A;044F05;1;4
R00054;M8664;CCSS;MR;017237;8;0
R00081;M8664;MNST;3A;040F01;1;2
R00063;M8664;MNST;3A;043F04;1;3
R00205;M8664;MNST;RM;0D0696;8;8
R00134;M8664;MNST;3A;044F05;1;0
R00134;M8664;MNST;3A;040F01;3;2
R00161;M8664;MNST;3A;040F01;1;3
R00063;M8664;MNST;3A;042F03;0;1
R00054;M8664;MNST;2A;032F02;0;2
R00161;M8664;MNST;2A;034F03;0;4
