ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C1971;RALN;NF;CD;0,97;0;0;0;0;0;0;0
C2259;RALN;NF;CC;0;0;0;0;0,06;0;0;0
IP10985;PRTN;DV;CB;7,46;20,91;0;0;0;0;0;0
IP10985;PRTN;DV;CA;4,99;20,26;0;0;0;0;3;8,5
IP10985;PRTN;DV;CC;2,17;14,39;0;0;0;0;0;0
IP10985;PRTN;DV;CD;0;0,67;0;0;0;0;0;0
OR13324;EPNE;2F;AB;0;0;0;0;0;1;0;0
IP11028;SCTN;NF;SA;5,23;4,94;0;0;1,1;0;0;0
IP11028;SCTN;NF;SN;7,26;8,47;0;0;0;0;0;0
C5606;RALN;NF;CC;1;0;0;0;0;0;0;0
C6261;REFR;SC;CB;0,57;0,57;0;0;0;0;0;0
C6261;REFR;SC;CC;1;1,73;0;0;0,31;2,18;0;0
C6261;REFR;SC;CD;1;2,02;0;0;0,62;0,35;0;0
C931;RALN;NF;CC;0,99;0,99;0;0;0;0;0;0
C931;RALN;NF;CD;0;2,84;0;0;0;0;0;0
N10196;RALN;NF;CD;0,3;0;0;0;0;0;0;0
C8304;RALN;NF;CD;0;0,45;0;0;0;0;0;0
C8304;RALN;NF;CB;0;0;0;0;0;0;1,57;0,2
C8304;RALN;NF;CC;0;0;0;0;0;1,3;0;0
C3908;RALN;NF;CB;0;0;0;0;0;1;0;0
C4804;RALN;NF;CC;0,5;0;0;0;0,5;0;0;0
LS12109;LS13;NF;LI;2,39;0,24;0;0;0;0;0;0
IP12332;RALN;NF;CD;0;0,25;0;0;0;0;0;0
IP12332;RALN;NF;CB;0;0;0;0;1;1;0;0
C935;RALN;NF;CB;2,89;0,72;0;0;0;0;0;0
C935;RALN;NF;CA;2,89;1,44;0;0;0;0;0;0
C935;RALN;NF;CC;0,72;2,89;0;0;0;0;0;0
C2401;RALN;NF;CB;2,05;0;0;0;0,09;0;0;0
C2401;RALN;NF;CC;0,96;1,92;0;0;0;0;0;0
C2401;RALN;NF;CD;0;0,67;0;0;1,09;1;0;0
C12288;RALN;NF;CC;0;0,58;0;0;0;0;0;0
AB9927;RALN;NF;CC;0;1;0;0;0;0;0;0
C4992;RALN;NF;CB;0;0,03;0;0;0;0;0;0
C12463;RALN;NF;CD;1;0;0;0;0;0;0;0
C12463;RALN;NF;CC;0;1;0;0;0;0;0;0
OL13000;EPNE;2F;AA;0;0;0;0;0;1,25;0;0
C8028;RALN;NF;CC;0;0,13;0;0;0;0;0;0
CS11112;SSNA;AP;LT;0;3,21;0;0;0;0;0;0
CS11112;SSNA;AP;LA;0,42;1,75;0;0;0;0,33;0;0
C3114;RALN;NF;PC;1;0;0;0;0;0;0;0
C3114;RALN;NF;CC;1;0;0;0;0;0;0;0
C3114;RALN;NF;CD;1;0;0;0;0;0;0;0
C2810;PRBZ;NF;CB;0,83;0;0;0;0;0;0;0
C2810;PRBZ;NF;CC;0,25;0;0;0;0;0;0;0
C2810;PRBZ;NF;PC;0;0;0;0;0;0;0,82;0,2
C1389;RALN;NF;CD;1,08;12,3;0;0;0;0;0;0
C1389;RALN;NF;CC;0;0,6;0;0;0;0;0;0
C5974;PRBZ;NF;CB;1,68;0,73;0;0;0;0;0;0
C5974;PRBZ;NF;CC;0;0,63;0;0;0;0;0;0
C5974;PRBZ;NF;CA;0,5;0,47;0;0;0;0;0,18;0
C1177;PRBZ;NF;CA;0;0,63;0;0;0;0;1,86;0,74
C1177;PRBZ;NF;CB;0;0,74;0;0;0;0;0;0
C1177;PRBZ;NF;CC;0;6,28;0;0;0;0;0;0
C1392;RALN;NF;CD;0,91;1;0;0;0;0;0;0
C1392;RALN;NF;CC;0,67;0,48;0;0;0,41;0,41;0;0
Q9152;UNIV;AP;RC;81,48;76,2;0;0;0;0;0;0
Q9152;UNIV;AP;CD;1;0,95;0;0;0;1,25;0;0
Q9152;UNIV;AP;CC;0;0,52;0;0;0;0;0;0
Q9152;UNIV;AP;AL;0,32;1,24;0;0;0;0;0;0
Q9152;UNIV;AP;CE;0,08;0;0;0;0;0;0;0
IP11060;PRTN;DV;CA;0,5;15,19;0;0;0,04;4,91;0;1,84
IP11060;PRTN;DV;CC;0,2;2,11;0;0;0;0,87;0;0
IP11060;PRTN;DV;CB;3,31;12,53;0;0;0,92;1,73;0;0
C3166;RALN;NF;CC;0;0;0;0;0;0;0;0,55
C3166;RALN;NF;CB;0;0;0;0;0;0;0,55;1,1
C3166;RALN;NF;CD;0,5;0,5;0;0;0;0;0;0
C3166;RALN;NF;CA;0;0;0;0;0;0;0,77;0
C4037;RALN;NF;CA;0;0;0;0;0;0;0,17;0
C7092;RALN;NF;CC;2;0;0;0;0;0;0;0
LS11942;LS13;NF;LI;58,44;49,94;0;0;0;0;0;0
LS12070;LS13;NF;LI;16,38;8,86;0;0;1,18;0;0;0
C7198;RALN;NF;CC;2;0;0;0;0;0;0;0
C7198;RALN;NF;CD;1;0;0;0;0;0;0;0
C12341;PRTN;DV;CC;0;0,49;0;0;0;0;0;0
C7428;RALN;NF;CB;0,18;0;0;0;0;0;0;0
C7428;RALN;NF;CC;0,21;1,68;0;0;0;0;0;0
IP12292;SSNA;AP;LA;1;0;0;0;0;0;0;0
IP12292;SSNA;AP;LP;0;1;0;0;3;15;0;0
IP12292;SSNA;AP;SI;0;2;0;0;0;0;0;0
C885;RALN;NF;CD;1;1;0;0;0;0;0;0
OR13699;EPNE;2F;AB;0;0;0;0;0;0,75;0;0
C5786;RALN;NF;CB;0;0;0;0;0;0;1,2;0
C5786;RALN;NF;CC;0;0,05;0;0;0;0;0;0
C6931;RALN;NF;CD;1;1;0;0;0;0;0;0
C1146;RALN;NF;CD;1;1;0;0;0;0;0;0
C1146;RALN;NF;CC;2;0;0;0;0;0;0;0
OL13932;EPNE;2F;AC;0;0;0;0;1;0;0;0
OL13932;EPNE;2F;AB;0;0;0;0;1;0;0;0
C6560;RALN;NF;CB;0;0;0;0;0;0;0;0,03
C6650;RALN;NF;CA;4;5;0;0;0;0;0;0
C6650;RALN;NF;CC;1;3;0;0;0;0;0;0
C6650;RALN;NF;CB;1;0;0;0;0;0;0;0
C3217;RALN;NF;CD;1;0;0;0;0;0;0;0
C1153;RALN;NF;CD;0,22;0;0;0;0;0;0;0
OL13265;EPNE;2F;AB;0;0;0;0;0;0,56;0;0
E8469;EPNE;2F;AA;0;0;0;0;0;0,96;0;0
E8469;EPNE;2F;AB;0;0;0;0;0;0,34;0;0
CS11011;PRTN;DV;CC;0,23;0,5;0;0;0;0;0;0
CS11011;PRTN;DV;CD;0;0,71;0;0;0;0;0;0
IP10709;RALN;NF;CD;0;0;0;0;0,12;3,92;0;0
IP10709;RALN;NF;CC;0;5,25;0;0;0;3,17;0;0
IP10709;RALN;NF;CB;0;0;0;0;1,48;9,21;0;0
C7017;RALN;NF;CD;0;1;0;0;0;0;0;0
C7017;RALN;NF;CB;0;0;0;0;2;0;0;0
C7017;RALN;NF;CA;0;0;0;0;0;0;3;0
C7017;RALN;NF;PC;0;0;0;0;0;0;3;0
C2426;RALN;NF;CD;1;1;0;0;0;0;0;0
C2426;RALN;NF;CC;2;1;0;0;0;0;0;0
C6135;RALN;NF;CA;8,03;12,41;0;0;0;0;0;0
C6135;RALN;NF;CB;1,46;1,46;0;0;0;0;0;0
C6135;RALN;NF;CD;0;0,73;0;0;0;0;0;0
C6135;RALN;NF;CC;0;1,46;0;0;0;0;0;0
C12475;PRTN;DV;CC;0;2;0;0;0;0;0;0
LS11931;LS13;NF;LI;0;0;0;0;2;1;0;0
C4479;RALN;NF;CC;0;0,25;0;0;0,83;0;0;0
C7228;RALN;NF;CD;0,33;0;0;0;0;0;0;0
C7228;RALN;NF;CC;0;0,25;0;0;0;0;0;0
C441;RALN;NF;CD;0,9;3,05;0;0;0;0;0;0
C4133;RALN;NF;CB;0;1;0;0;0;0;0;0
N8738;RALN;NF;CC;2;0;0;0;0;0;0;0
C709;RALN;NF;CB;0,49;0;0;0;0;0;0;0
C4778;RALN;NF;CC;1;0;0;0;0;0;0;0
C7192;RALN;NF;CD;2;0;0;0;0;0;0;0
C7192;RALN;NF;CB;1;1;0;0;0;0;0;0
C6563;RALN;NF;CD;0,75;0,5;0;0;0;0;0;0
C6563;RALN;NF;CC;1,19;0;0;0;0;0;0;0
C1277;RALN;NF;CC;0;0,09;0;0;0;0;0;0
C5479;RALN;NF;CC;0;1;0;0;0;0;0;0
C6549;RALN;NF;CB;0;0;0;0;0;0,78;0;0
C1129;PRTN;DV;CC;1;1;0;0;0;0;0;0
C6194;RALN;NF;CC;0;1;0;0;0;0;0;0
C6194;RALN;NF;CA;3;0;0;0;0;0;0;0
C6194;RALN;NF;CB;2;0;0;0;0;0;0;0
OL13625;EPNE;2F;AB;0;0;0;0;0;1;0;0
OL13625;EPNE;2F;AC;0;0;0;0;0;1;0;0
C2724;RALN;NF;CC;0;0;0;0;0;0,38;0;0
C7316;RALN;NF;CD;0,66;0;0;0;0;0;0;0
C6640;RALN;NF;CA;0;0;0;0;0;0;0;0,97
C6640;RALN;NF;CB;0;0;0;0;0;0;2,93;0,97
C5366;RALN;NF;CD;1;0;0;0;0;0;0;0
LS11929;LS13;NF;LI;1,12;2,31;0;0;0;0;0;0
C992;RALN;NF;CC;0,05;0;0;0;0;0;0;0
C992;RALN;NF;CB;0,13;0;0;0;0;0;0;0
C992;RALN;NF;CD;0,28;0,74;0;0;0;0;0;0
U10507;SSNA;AP;ST;22,72;42,9;0;0;0;0;0;0
U10507;SSNA;AP;MV;0,5;1,5;0;0;0;0;0;0
U10507;SSNA;AP;DS;6,95;24,62;0;0;0;0;0;0
U10507;SSNA;AP;SF;9,67;52,92;0;0;0;0;0;0
U10507;SSNA;AP;SI;93,22;489,78;0;0;0;0;0;0
U10507;SSNA;AP;MO;1,84;0;0;0;0;0;0;0
U10507;SSNA;AP;DA;1;0;0;0;0;0;0;0
U10507;SSNA;AP;MD;165,92;169,33;0;0;0;0;0;0
U10507;SSNA;AP;LA;23,67;77,22;0;0;0;0;0;0
