ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE
IP12292;SSNA;LT;T12057;0;0;0;1;0;0;0;0;0;0;0;0;0;0
IP12292;SSNA;LT;T11008;0;0;0;0;0;0;0;0;0;0;1;0;0;0
IP12292;SSNA;SF;S16019;0;1;0;0;0;0;0;0;2;1;4;0;0;0
IP12292;SSNA;LT;T14S59;0;0;0;0;0;0;0;2;0;0;0;0;0;0
IP12292;SSNA;SF;S18866;1;0;0;0;0;0;0;0;0;0;0;0;0;0
IP12292;SSNA;LT;T12058;0;0;0;0;0;0;0;0;0;0;3;3;0;0
IP12292;SSNA;LT;T14007;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IP12292;SSNA;LA;A16028;0;0;0;1;0;0;0;0;2;0;0;0;0;0
IP12292;SSNA;SI;S18863;0;0;0;0;0;0;0;1;0;0;1;0;0;0
IP12292;SSNA;LA;A14005;0;0;0;0;0;0;0;4;0;0;0;0;0;0
IP12292;SSNA;LT;T13059;1;0;0;0;0;0;0;2;0;0;1;0;0;0
IP12292;SSNA;LT;T13660;0;3;1;0;0;0;0;1;9;8;8;0;0;0
IP12292;SSNA;SF;S14053;0;0;0;0;0;0;0;0;0;0;1;0;0;0
IP12292;SSNA;SI;S16020;0;2;0;0;0;0;0;0;3;0;3;0;0;0
U9450;SSNA;LT;T14S59;0;0;0;1;1;0;0;0;0;0;0;0;0;0
U9450;SSNA;SI;S14S52;0;0;0;0;4;0;0;0;0;0;0;4;3;0
U9450;SSNA;LA;A14005;5;8;2;3;0;0;0;10;9;3;9;0;4;0
U9450;SSNA;SI;S18863;0;0;0;0;0;0;0;0;0;0;0;0;1;3
U9450;SSNA;LT;T14007;3;2;0;1;2;1;0;2;0;0;0;0;0;0
U9450;SSNA;LA;A13870;0;3;1;1;3;1;0;0;4;4;0;0;2;0
U9450;SSNA;SF;S16019;0;0;0;0;0;0;3;0;1;0;0;0;0;6
U9450;SSNA;LA;A18869;0;0;0;1;0;0;0;0;0;0;0;0;0;0
U9450;SSNA;SI;S14056;0;0;0;0;0;0;0;0;1;0;0;0;0;0
U9450;SSNA;SI;S16020;17;31;19;20;16;10;66;38;101;69;44;41;24;180
U9450;SSNA;LA;A11030;0;0;3;0;0;3;0;0;0;3;0;0;4;0
U9450;SSNA;ST;S16021;7;9;4;3;3;3;32;4;5;4;7;2;3;16
U9450;SSNA;LT;T13059;2;0;1;7;7;0;0;0;0;0;0;0;0;0
